S,p03,p04,p05,p06,p07,p08,p09
111,5.6595492408918275,7.130566954393026,8.004697521734055,8.596302012745985,9.04828614727615,9.446538558298144,9.8869639158266
112,6.1307635744159725,7.677946650268075,8.592508966820796,9.209512783168945,9.679865046531742,10.093692711563687,10.550936570758628
113,6.623228461525318,8.246365535036182,9.200927057014889,9.842921769240467,10.331270988530589,10.760318753615541,11.23398841390859
114,7.136606718575058,8.835270246032035,9.829294179176983,10.49581011872291,11.001742871381737,11.445621430293546,11.935290372362141
115,7.670498255070259,9.444057778583684,10.47691253306525,11.167425586200784,11.690491521072712,12.148782100052918,12.653995032650307
116,8.224445671906365,10.072082437893766,11.14305146704142,11.856989974527762,12.396707140453632,12.868966145030415,13.38924396594554
117,8.797940126619105,10.718662760655057,11.826954616501382,12.563706274000383,13.119566381039983,13.605329943582982,14.140174553119987
118,9.390427365514483,11.383088312744729,12.527846762683842,13.286765426803953,13.858238973624346,14.357027348115706,14.905926262339268
119,10.001313828251824,12.0646262804061,13.244940342634953,14.025352658308133,14.611893868167929,15.123215626736954,15.685646346669369
120,10.629972737531881,12.762527783887577,13.977441554165543,14.77865333040102,15.37970484724381,15.903060841080203,16.478494942837592
121,11.275750094668778,13.476033854249042,14.72455601235049,15.545858284972093,16.160855590161542,16.695742645316226,17.283649564633716
122,11.937970510686492,14.204381025653987,15.485493926214154,16.32616865765891,16.954544176657496,17.500458502780283,18.100308995352734
123,12.615942811905004,14.94680650669513,16.259474775525057,17.118800152918674,17.759987029539293,18.3164273266733,18.92769659310134
124,13.308965368476397,15.70255290493562,17.04573147793029,17.92298678123,18.576422304869975,19.14289255991661,19.76506303071694
125,14.016331103787248,16.470872488730016,17.843514045893304,18.737984067759914,19.40311274611991,19.979124716442577,20.61168849849392
126,14.737332151840018,17.251030979388126,18.652092740995673,19.563071749069834,20.239348025242112,20.824423412037323,21.466884402969242
127,15.471264138498258,18.042310874781748,19.4707607400886,20.397555980440924,21.084446598840945,21.678118917366938,22.32999459874297
128,16.217430070695976,18.844014312523868,20.29883633356462,21.24077108119354,21.93775711161786,22.539573269126432,23.2003961928517
