S,p03,p04,p05,p06,p07,p08,p09
38,4.723153250840916e-12,1.7550718718082735e-11,3.511633917638679e-11,5.488106835220314e-11,7.59730528582724e-11,1.0035018131800002e-10,1.3465803453487884e-10
39,1.658913794999306e-11,6.024790695711267e-11,1.1886027125436535e-10,1.8352096869146237e-10,2.524569285223303e-10,3.309688629666723e-10,4.407585786941464e-10
40,5.54528453925585e-11,1.9517502964495429e-10,3.79365909037648e-10,5.792416407398354e-10,7.905936288657193e-10,1.0296005598317774e-09,1.3619457726231014e-09
41,1.7489615399109654e-10,5.984183264307709e-10,1.1443599566894873e-09,1.7299606592676845e-09,2.3435445686777715e-09,3.0318801487182213e-09,3.98331560300526e-09
42,5.234768517183489e-10,1.7400870419981732e-09,3.276411550984479e-09,4.904380219710776e-09,6.595310585979865e-09,8.479627449080417e-09,1.1067012224654033e-08
43,1.4892990395550032e-09,4.815112216295851e-09,8.931552227113248e-09,1.3241311618309478e-08,1.767926488253272e-08,2.2593267731622923e-08,2.9295086096878523e-08
44,4.042263422357581e-09,1.2717855883189002e-08,2.324733770435877e-08,3.4141057074748364e-08,4.526683333233342e-08,5.750484450233736e-08,7.409250886113351e-08
45,1.0491779932167984e-08,3.2144976076747816e-08,5.792444407889508e-08,8.42872338650868e-08,1.1099422727953144e-07,1.4018474167027313e-07,1.7950845627151655e-07
46,2.6107079584904476e-08,7.79384297804436e-08,1.3849713353493662e-07,1.9972293080113663e-07,2.6125980673543883e-07,3.281021258763759e-07,4.176071142572946e-07
47,6.24233208090519e-08,1.8168843759480411e-07,3.184846645544676e-07,4.5525040931910956e-07,5.916541696905822e-07,7.389139675861632e-07,9.349528144086652e-07
48,1.4372556565645e-07,4.0807911291601144e-07,7.05846240241285e-07,1.0003066553293477e-06,1.2917716949893676e-06,1.6045572411388726e-06,2.018572392805622e-06
49,3.1928318784376896e-07,8.848140169653928e-07,1.5105993223608547e-06,2.122826868492953e-06,2.7243477103045773e-06,3.3661021187311534e-06,4.210800131209638e-06
50,6.856030279702449e-07,1.8554084563870263e-06,3.1274486260303605e-06,4.358894702003627e-06,5.56003960503075e-06,6.834196807818117e-06,8.502089576983026e-06
51,1.4255050580282484e-06,3.769151799959174e-06,6.274290012741665e-06,8.674561733729968e-06,1.0999134304075947e-05,1.3451185507091322e-05,1.66437248975091e-05
52,2.874480519574427e-06,7.429362542121119e-06,1.2216759429330065e-05,1.675747656291851e-05,2.1124330022747547e-05,2.5705342208263932e-05,3.163837424096088e-05
53,5.629828291115472e-06,1.4230049433491828e-05,2.312082562051631e-05,3.1469941200898164e-05,3.9444424436328054e-05,4.7764900372139616e-05,5.848543546174915e-05
