S,p03,p04,p05,p06,p07,p08,p09
42,-3.4733482996454763e-09,-1.1986047742540633e-08,-2.3012174297729104e-08,-3.4876069733318496e-08,-4.7325619564964634e-08,-6.13179170481589e-08,-8.067778283262932e-08
43,-9.528743433062316e-09,-3.201253085274642e-08,-6.05792564751286e-08,-9.095766011137825e-08,-1.2257691245321294e-07,-1.578858313752923e-07,-2.0643757608197964e-07
44,-2.4945975902909215e-08,-8.164901478645538e-08,-1.5235013071509616e-07,-2.2667842320352464e-07,-3.034302056869704e-07,-3.886007455222063e-07,-5.050094733512814e-07
45,-6.248280209966465e-08,-1.9937695799522245e-07,-3.669562184455905e-07,-5.411730134306646e-07,-7.196802804676757e-07,-9.165562914452745e-07,-1.1840604893902511e-06
46,-1.5008937073407145e-07,-4.6721402448058754e-07,-8.485086815817114e-07,-1.2405991956803586e-06,-1.639315948084705e-06,-2.076437920108716e-06,-2.666972788585081e-06
47,-3.4651937999689074e-07,-1.0529864073687904e-06,-1.8876122478337724e-06,-2.7367598619910957e-06,-3.593899019235698e-06,-4.5281286716156916e-06,-5.783183830624846e-06
48,-7.705187599910119e-07,-2.2870560318830576e-06,-4.04818237018655e-06,-5.821365993978297e-06,-7.598363501668995e-06,-9.524175947636007e-06,-1.2097227218771242e-05
49,-1.6532717512140683e-06,-4.796199319131564e-06,-8.38519082955352e-06,-1.1962117372169147e-05,-1.552154783571726e-05,-1.9357659184611177e-05,-2.445575521557574e-05
50,-3.4291032650114983e-06,-9.72851830027289e-06,-1.6804673337133822e-05,-2.378713606168551e-05,-3.06877313994923e-05,-3.808442369158089e-05,-4.786336819740322e-05
51,-6.886676172826201e-06,-1.911772289471901e-05,-3.263763616346492e-05,-4.58492292826719e-05,-5.8818287569796716e-05,-7.26461412036358e-05,-9.083478974446848e-05
52,-1.3412226866853733e-05,-3.645264788630635e-05,-6.152320709364727e-05,-8.578980208364271e-05,-0.00010945462552609496,-0.00013455605059938894,-0.00016740998184994077
53,-2.53675976047529e-05,-6.753755398545678e-05,-0.00011272176296211926,-0.00015605149851750312,-0.00019803567492232416,-0.00024234360776368894,-0.0003000553849093538
