S,p03,p04,p05,p06,p07,p08,p09
28,-4.4183981436093944e-12,-1.0392928335908996e-11,6.906557607344463e-12,-6.2598633546594105e-12,9.039921562962803e-12,9.173292733531314e-12,-2.83429618768272e-12
29,-4.709561218655862e-12,-2.3804645523906238e-11,-5.127479130323799e-12,-1.5145249631519758e-11,1.7679137725737812e-11,1.2946814254802279e-11,-1.606293552715423e-11
30,-6.605177757832316e-12,1.5418493352098623e-11,1.408701922517772e-11,-4.255593938170318e-12,-1.08675216491517e-11,3.39475351141401e-11,-3.3440885633804814e-11
31,-1.4350972153912989e-11,-1.0103358719833127e-12,1.0456961061765418e-11,-2.6888457633467015e-11,1.780128938108249e-12,1.999478265681932e-11,1.0786029359340172e-11
32,2.4252360495563093e-11,-1.441976823346565e-11,-4.1376575208667826e-12,-5.727802565203296e-12,1.0556706295136175e-11,-3.4811960020710666e-12,1.0821326193396867e-11
33,4.622673905406906e-12,2.7165958746045582e-11,-1.7763469718663687e-11,-3.50414827611035e-11,2.2784100429014112e-12,-2.376235039322092e-11,-1.732875343335543e-11
34,-3.177100672583709e-11,-1.84018999634443e-12,2.7992839722011104e-11,3.1311467827060393e-11,-1.4632777669067778e-11,2.81492887238609e-11,5.196964012081799e-11
35,-1.5997950338562374e-11,-2.333247162197126e-11,-1.78824789457905e-11,-2.1882047233997975e-11,-6.671131668929475e-11,-7.947019191523481e-11,-3.444890623846803e-11
36,-3.649150128960738e-11,2.9921208410875284e-11,7.04295977733343e-11,-7.127597134899216e-11,5.180305749563564e-11,-1.7692906162598715e-11,-5.831374220206348e-12
37,-4.916310445289856e-11,-1.1091174452541314e-12,-6.19697860835286e-11,-1.3174109501429874e-10,3.3040394083716136e-12,-2.1166404101547543e-11,-6.61366385299748e-11
38,-3.3335473846493556e-11,6.534283582643896e-11,1.2123672689077749e-10,1.8398443868208585e-10,-3.0166322491319894e-11,7.25909409569424e-11,-2.8200409625778458e-11
39,-1.2143655940862932e-11,-1.0200110465196037e-11,-5.077399535140983e-11,-1.167924267830146e-10,-4.052564195997766e-11,5.5502162156143637e-11,1.3402540085526048e-10
40,-1.0421714736238407e-10,1.2166465791585832e-10,1.453553347413125e-10,-2.9063312970125126e-11,8.330752696191425e-11,1.950630727958326e-10,1.5978466429939957e-10
41,-7.953697665101671e-12,4.022646656517114e-11,3.903889434572127e-11,9.414251377415347e-11,1.2635797133623523e-10,2.7231598728691446e-10,5.201158895964663e-10
42,1.480846918125568e-10,-8.226470165613835e-12,3.0766583252276425e-10,5.216823292772762e-10,3.2749110807824877e-10,7.828625449092421e-10,1.0012999187873014e-09
43,3.398425547677238e-10,4.165192080689569e-10,8.564727582541496e-10,1.2375266027297743e-09,1.3622665971556285e-09,2.257509956954992e-09,3.0139219387021427e-09
44,3.175694411071326e-10,1.0493734122614718e-09,2.0373214262105215e-09,3.3557730004420098e-09,4.127847440292699e-09,5.060738095535308e-09,7.000542144676672e-09
45,9.437219856580472e-10,2.7986232447897488e-09,5.223759843273994e-09,7.964200485906712e-09,1.0101272552763192e-08,1.291651311159658e-08,1.6325870686004137e-08
46,2.3938064296802786e-09,6.98777812743952e-09,1.2556092238015689e-08,1.7740841044189794e-08,2.377751763889298e-08,2.870057751852828e-08,3.755261279345633e-08
47,5.555788652227677e-09,1.5885749223324475e-08,2.7666490910634913e-08,3.9903351568235665e-08,5.143309059262281e-08,6.449777441667642e-08,8.164485992321973e-08
48,1.2232385114178473e-08,3.473157088611486e-08,6.009801463514115e-08,8.609752816196735e-08,1.1067308798371945e-07,1.3745822853959095e-07,1.7333185659546674e-07
49,2.6945333345915257e-08,7.360792809302919e-08,1.2688979183925414e-07,1.781236371216256e-07,2.2845063040182086e-07,2.8267967285944517e-07,3.5354591147391184e-07
50,5.639444910005543e-08,1.5247563829744298e-07,2.572173515982346e-07,3.581903651772746e-07,4.574045307232088e-07,5.626348695380028e-07,7.000323591978307e-07
51,1.1450915329455738e-07,3.040891214625452e-07,5.062573359506018e-07,6.999858676769383e-07,8.869550817781414e-07,1.0852759879164742e-06,1.3445999422182658e-06
52,2.2745528198550233e-07,5.880141789234045e-07,9.677197262383981e-07,1.3268117844578045e-06,1.6733431911023769e-06,2.036022391501758e-06,2.5068788377487694e-06
53,4.3652211925478016e-07,1.1053396043985276e-06,1.7980649385856626e-06,2.4478979431040264e-06,3.0682065554546575e-06,3.7167154780698734e-06,4.550606327982697e-06
54,8.175194500478517e-07,2.0240230686610692e-06,3.2518667612320288e-06,4.3942127904037995e-06,5.477993140481571e-06,6.603440565894087e-06,8.046785216235183e-06
55,1.4904767398998776e-06,3.6114685003516217e-06,5.735968628919246e-06,7.69329160110483e-06,9.539256252857724e-06,1.1445501867774453e-05,1.3876743416190492e-05
56,2.6503201827729646e-06,6.287983304073368e-06,9.87337551397894e-06,1.3149409099284023e-05,1.621712407916774e-05,1.9368371923650374e-05,2.336992429544278e-05
57,4.600371631216255e-06,1.0695514840539794e-05,1.6613541427713385e-05,2.1965326828460655e-05,2.6945995754796767e-05,3.2037797775504896e-05,3.847794478872846e-05
58,7.810446591512057e-06,1.7794612151519375e-05,2.7342016522516506e-05,3.589830120448098e-05,4.381231841080538e-05,5.186590360754112e-05,6.199415980567835e-05
59,1.2975051094036693e-05,2.898121534964694e-05,4.406184279741841e-05,5.745593277951648e-05,6.977169764253027e-05,8.223988845609473e-05,9.784948865705287e-05
60,2.111446393703205e-05,4.6257886843897866e-05,6.959832829413898e-05,9.014803606290783e-05,0.00010892606261414528,0.00012784802242479104,0.0001514312194519571
61,3.36894940655523e-05,7.241436996482248e-05,0.00010784479456378906,0.000138772028807424,0.00016685888239685587,0.0001950346026173555,0.00022999228389830595
62,5.274780788479434e-05,0.00011128315472895209,0.00016407564055239549,0.00020976267055793085,0.00025101828710245855,0.0002922052465444136,0.0003430925574025856
63,8.110618296766625e-05,0.00016800291355572455,0.00024527633613394273,0.0003115902934974768,0.0003711214170178112,0.00043029770285113456,0.0005030895730388785
64,0.0001225711426886683,0.00024936463484392934,0.0003605564956842,0.00045518955358453406,0.0005396700881316052,0.0006232587688136115,0.000725660894221325
65,0.0001821896664566322,0.00036415838877354445,0.0005215620795494258,0.0006544359346973005,0.0007723848904211961,0.0008885977457323557,0.001030358459143399
66,0.00026652820575567837,0.0005235671596791336,0.0007429112555169815,0.0009266022628004467,0.0010887537833098593,0.001247832046025188,0.0014410966343858522
67,0.0003840113773842524,0.0007415906864288724,0.0010426924297937679,0.0012928440436266175,0.0015124836712926415,0.0017270393014995333,0.0019866630042442157
