S,p03,p04,p05,p06,p07,p08,p09
69,0.04500452164287729,0.0798988342969563,0.10726414345839287,0.12903674988809943,0.14758802809243693,0.16528839684671648,0.18623104805348156
70,0.061405021410869225,0.10713659192133906,0.14248909456293818,0.1703759876264029,0.19399716185772817,0.21643216292739803,0.24286271594216832
71,0.0826660745029649,0.14178112377396557,0.1868313201570503,0.22206569385715969,0.25173580347696844,0.2797883952613753,0.3126962751960963
72,0.1098610320424652,0.18526631103893582,0.2419197763605784,0.2858539896981316,0.322634473662927,0.3572532512958505,0.39769220558996676
73,0.14419816317993994,0.2391530053106293,0.3094917281556975,0.36357841502200267,0.4085952512365362,0.450776451222136,0.4998425376883178
74,0.18701325643410113,0.3051059996288935,0.3913590559297651,0.457124704227492,0.5115447343843545,0.5623091615644323,0.6211132785828923
75,0.23975591006118907,0.38486302212674056,0.4893662238944843,0.5683773018261284,0.6333789894354125,0.6937442185345893,0.7633797071031345
76,0.30396910900707536,0.4801960255124832,0.6053407261850593,0.6991628437544306,0.7759020421892193,0.8468505409840038,0.9283567121701197
77,0.3812619823587333,0.5928654808558947,0.7410373073585969,0.8511883214547961,0.9407599529891175,1.0232040555550186,1.1175267959106365
78,0.47327596909032404,0.7245688155491786,0.8980776953755598,1.0259760698822644,1.1293729142698716,1.224117820880083,1.3320686810558424
79,0.581644972419762,0.8768845340927783,1.0778879560228298,1.2247980469849706,1.342868087812199,1.450574265284832,1.5727896248131368
80,0.7079504331534286,1.0512138999514002,1.2816358509364079,1.4486120758412657,1.5820160368930358,1.7031625245644832,1.840064533989022
81,0.8536725780122073,1.2487223124155178,1.5101707369787054,1.698002785683883,1.847173593639978,1.982023775646824,2.13378479700016
82,1.0201393793314584,1.4702826665755064,1.763968569709895,1.9731299074543518,2.13823583333439,2.2868072114604066,2.453319406143517
83,1.208474978599272,1.7164230248070678,2.043084464377065,2.273686356414062,2.4545995125749287,2.616638907126656,2.79749045982991
84,1.419549464164449,1.9872808500345784,2.347115029602831,2.5988681813329806,2.795139887867004,2.9701053102806907,3.1645645374372977
85,1.6539319419779652,2.2825658582342756,2.6751723344967115,2.94735799714424,3.1582022884674155,3.3452524814100992,3.552260766344628
86,1.91184879454534,2.601533249340371,3.025870920242424,3.3173229732058607,3.5416092076656636,3.7396015474672195,3.9577756898517835
87,2.193148886904528,2.942968690373693,3.3973287472999214,3.7064278528731176,3.94268303105183,4.150180153223992,4.377824337377656
88,2.4972772577308566,3.3051859711058507,3.78718240918674,4.1118628666192425,4.358283878398983,4.573569035855596,4.808696231943799
89,2.823258539119966,3.686037758757199,4.192616373180913,4.530385801490566,4.784861428291376,5.00596224365546,5.246324478873632
90,3.1696909963077613,4.082939367126559,4.610405457110001,4.95837693678336,5.2185190536080395,5.443238999189859,5.68636559076463
91,3.5347516865291695,4.49290495711463,5.036969246760004,5.391905073535153,5.655088144929099,5.881044792164225,6.12428733778092
92,3.9162128255293416,4.912595119329066,5.468436724255232,5.82680249660017,6.090210157390086,6.314878994562179,6.555461679212948
93,4.311469038679183,5.338374382413136,5.90071903025291,6.258746425585882,6.5194236927668126,6.740186125636649,6.975259738210005
94,4.717574784389722,5.766376853270083,6.329588036342315,6.683344342408581,6.938253830153229,7.152447860200306,7.379145819301769
95,5.131290883417794,6.192577946640965,6.7507582625869755,7.096220531773723,7.342300938280033,7.547272959425033,7.7627676290870085
96,5.549138787418473,6.612870001793114,7.15996964064658,7.493101227613597,7.7273263351518295,7.920482501091453,8.122040127038765
97,5.967460981658457,7.023139520324628,7.5530686884284215,7.869895918577452,8.089332388026005,8.268188074804783,8.453220786133198
98,6.382485749959477,7.419343785548538,7.926085819700557,8.222772608703632,8.424634958328348,8.586860969792554,8.752974457493234
99,6.790394435841618,7.797584734647867,8.275306746454714,8.548225144100474,8.7299264615881,8.873390795145486,9.018426489073583
100,7.187389313422221,8.15417813902819,8.597336229407837,8.84313107881285,9.002328221057176,9.125132413703163,9.247203219602262
101,7.569760232433165,8.48571639043394,8.889152771092146,9.104798947392467,9.2394312223254,9.339940519685896,9.437459434487039
102,7.933948313583183,8.789123483721184,9.148153215412513,9.331004217014716,9.439324796938209,9.516191625800197,9.587892814080234
103,8.276605138746174,9.061701103687536,9.372186593252785,9.520013590536003,9.60061317523131,9.652793635570589,9.697745807537572
104,8.594646089956637,9.301165060038308,9.559576924842439,9.670597710753626,9.722420220019679,9.74918354152976,9.766795714787335
105,8.8852967370312,9.505671648630809,9.709135039583927,9.782032658893769,9.804382984937021,9.80531410497587,9.79533405436328
106,9.14613143332188,9.6738338432667,9.820159791926741,9.854090941496807,9.846635018844196,9.821630627655509,9.784136514596753
