S,p03,p04,p05,p06,p07,p08,p09
65,7.098681915613907e-05,0.00013546116192945587,0.00018907204210908898,0.0002332439124805817,0.00027179499699492293,0.0003092702821529819,0.0003543993504565024
66,9.966747258559859e-05,0.0001867136197064058,0.00025802905412363256,0.0003162708256615812,0.0003667935101394487,0.0004156746230641467,0.0004742757073183945
67,0.00013782135180177325,0.00025353937684567673,0.0003469629743409197,0.00042259364253609266,0.0004878064942346466,0.000550605665956827,0.0006255593416968491
68,0.00018781379065033535,0.00033937516894389647,0.0004599662387517328,0.0005567441151675678,0.0006396938415000747,0.0007192035106177996,0.0008136864445597303
69,0.00025236762706080246,0.00044804723151221915,0.0006015048228079356,0.000723599063237601,0.0008276283697955522,0.0009268854498332979,0.0010443232684176351
70,0.00033455678618080076,0.0005837248939072337,0.0007763408361310953,0.0009282794311872566,0.0010569757040966576,0.0011792084231299071,0.0013232090271576846
71,0.0004377833766160133,0.0007508503186912097,0.0009894282027543555,0.0011760210996344944,0.0013331454985082702,0.0014817027634353441,0.0016559705219576504
72,0.0005657364465089243,0.0009540442517767811,0.001245782769998538,0.0014720201332862892,0.0016614176348919707,0.0018396819701990696,0.0020479144382037906
73,0.0007223314021573279,0.0011979888549749906,0.0015503298111257946,0.0018212568434275433,0.0020467490946529665,0.002258035253707713,0.002503805247439095
74,0.0009116300053041426,0.0014872902239643215,0.0019077335739955958,0.0022283047593912864,0.002493568700898119,0.0027410109566111673,0.0030276378817917227
75,0.0011377418923999572,0.0018263245981503529,0.0023222147332163656,0.0026971318813767686,0.003005568085176491,0.0032920003872893844,0.0036224156872710633
76,0.00140470984896085,0.0022190735435301256,0.002797363331322189,0.0032309029228405617,0.003585498650066077,0.003913332167343464,0.004289944476043583
77,0.0017163818188947744,0.0026689542940300237,0.00333595471031789,0.003831791135222584,0.004234983613515819,0.004606086952269051,0.005030652784621115
78,0.0020762739578322753,0.0031786523181642767,0.003939777131339861,0.004500809100277392,0.004954354870106981,0.005369942362581925,0.005843448418751951
