S,p01,p02,p03,p04,p05,p06,p07,p08,p09
25,7.59385199893748e-13,2.309161780983574e-12,-1.3313740738403616e-12,-5.939901859628544e-12,-1.1615271348517776e-12,6.0546579833836104e-12,4.643498079041392e-13,-2.0277739609108845e-12,2.4154021554154816e-12
26,1.6424976848060939e-12,-1.195331536874221e-13,1.2332287861867756e-11,-4.769475907343252e-12,1.9038770765276846e-11,-1.669481338766946e-11,-1.3976510090147368e-13,8.7179012307128e-12,6.987668288401874e-13
27,-3.236293125079588e-12,-1.1006936837530174e-12,-9.876603054518241e-12,7.83956989015846e-13,-4.925143350318471e-12,4.176155416935427e-12,3.437242603706186e-12,-2.0078638156214487e-13,9.438045961723429e-12
28,4.3321520858958863e-13,-2.556756868817994e-12,1.5062971396838595e-12,-9.748876651249325e-12,-1.5128638828833076e-12,-9.810609334528155e-13,1.1439213965725762e-11,-2.2495288568192473e-11,1.2214725352564505e-11
29,-6.047059846613188e-13,5.688277113479121e-12,-8.688270742450503e-12,-1.3550161895003153e-11,-9.602984659238692e-12,-1.4586474763242196e-11,1.6474677156227897e-11,1.5043906026920102e-11,-2.729810887920604e-11
30,-2.633682826113232e-12,3.3873175046001904e-12,-2.3143942447414123e-11,-2.801184156608838e-12,6.223479808086949e-12,-4.70912021129821e-11,-5.36445730189823e-12,-9.555466147232653e-12,8.767509034381889e-12
31,6.866378868480515e-12,-2.490509512407329e-11,3.22930782487292e-11,-3.4793154758493137e-12,2.744389392650782e-11,-5.995833983576842e-12,-1.0518472839853801e-11,2.7200883669180575e-11,8.736522954752727e-12
32,-3.6815535913037855e-12,-1.4327799835623554e-11,1.243705645286761e-11,3.993930502303606e-11,-2.8807357618712375e-11,2.319690805447951e-11,2.451660613847742e-12,-1.2425758695151547e-11,-4.083002975321543e-12
33,1.8277468348441606e-11,-2.3435507283534065e-11,2.754580277192567e-11,3.565346439930911e-12,1.2365410051143312e-11,2.1833102970342966e-11,1.3252285351953795e-11,2.0403570159272045e-11,-4.3294959333840744e-11
34,-3.0205671743739686e-11,-1.8901507811920825e-11,-1.1519842071759232e-11,1.4315290479516067e-11,-7.36023622111659e-11,4.602472689737677e-11,-4.0595707968374615e-11,-5.2703828357097324e-11,-9.773789419647128e-11
35,-8.566417780636233e-12,5.6301290114445094e-11,-2.8713002918506762e-11,-1.9900049646060376e-11,4.7159174346966656e-11,-4.6536006523389896e-11,4.9906712942990616e-11,4.617948754448622e-11,-4.972227026078946e-11
36,9.918169281384699e-12,-4.9241664191033085e-11,-2.208117303345293e-11,8.230951968911193e-11,-4.0132505269543976e-11,1.4937291216200167e-11,3.108996783254341e-12,-1.1556817536379815e-10,1.0375289022410477e-11
37,-6.973067475041854e-12,-4.930258993822722e-12,2.3993558033833585e-11,7.18578155460187e-12,-1.626859085325801e-12,-1.4062687155711898e-10,6.956496039154893e-11,9.247238151056378e-11,5.1800413885164905e-11
38,-2.655450413561472e-11,1.1390183575158979e-10,-2.1928740842464964e-11,1.4656088052918564e-10,9.00664119922668e-11,-3.753484282390861e-11,1.2990222926534527e-10,-8.484101868183298e-11,1.8781060457032569e-10
39,1.5483432967701213e-11,3.723112237859767e-11,-1.3613567269161537e-11,1.315485962421954e-10,-4.7108944011266475e-11,2.436657053068001e-10,5.96715350144442e-11,1.551545776893011e-11,3.0273522990365557e-10
40,1.2134453467880313e-11,-1.449065110645852e-11,3.6671986687017996e-10,3.552188458609404e-10,2.37426315550525e-10,3.237167579064123e-10,4.916878503674296e-10,5.613201159574178e-10,7.466668377036927e-10
41,-5.81498217666039e-11,1.5802978188905757e-10,4.780132649571604e-10,6.328976053252798e-10,1.301185378356332e-09,1.3445502495911209e-09,1.3163171483981294e-09,1.6209678300399554e-09,1.6784938058869837e-09
42,-5.51885320855797e-11,4.24942972442892e-10,1.0493252289907906e-09,1.8423630208427453e-09,2.2476886140674815e-09,2.939612457886656e-09,3.882903896035869e-09,4.338541302453071e-09,4.979569798516654e-09
43,4.899860769711865e-11,8.35956797226941e-10,2.4695254676185864e-09,4.70806141092623e-09,6.2783091210836056e-09,7.648715123767968e-09,9.002494878858075e-09,1.0346272365981191e-08,1.2760805294834088e-08
44,8.488856949054095e-11,2.396516976470523e-09,7.348695392106004e-09,1.1336461325946981e-08,1.512902752447647e-08,1.8607585209132865e-08,2.1483640417473397e-08,2.5620851583659226e-08,3.071763395030944e-08
45,4.8051797027535164e-11,5.378506724318883e-09,1.655294069770056e-08,2.6456476221341318e-08,3.4869854970454535e-08,4.233016912180171e-08,5.0164275934922e-08,5.81388975730579e-08,6.954051095277201e-08
46,-1.852650376607853e-11,1.281890431039022e-08,3.765476529776744e-08,5.961513703377924e-08,7.770992402986904e-08,9.482899723040437e-08,1.105937620247201e-07,1.2840347677368902e-07,1.5223738778171505e-07
47,-7.38553980795213e-11,2.958475286051968e-08,8.30488190185272e-08,1.2965851755070184e-07,1.678279490007716e-07,2.021341372937974e-07,2.3599671722698937e-07,2.729241667658128e-07,3.2253704112655677e-07
48,3.8498124115535934e-10,6.319220084517049e-08,1.7621063306258645e-07,2.7143151471824945e-07,3.4992265657362665e-07,4.1893138369850016e-07,4.857340505699413e-07,5.600337001784118e-07,6.587831834494823e-07
49,5.140597565350235e-10,1.3209869638726633e-07,3.6016188200761225e-07,5.482702813074895e-07,7.022951865405969e-07,8.379205350440031e-07,9.687670718897662e-07,1.112173889733449e-06,1.302975843217683e-06
50,1.1572895559844901e-09,2.6798455649104544e-07,7.1170640021095e-07,1.074351973402325e-06,1.3675048989581482e-06,1.6231900526580945e-06,1.868377482350421e-06,2.138382596232472e-06,2.495131295451652e-06
51,2.4887178983066796e-09,5.27232613993785e-07,1.3662088326697307e-06,2.0419026848040103e-06,2.582735550966486e-06,3.0527661612657483e-06,3.5023447798887292e-06,3.992864100742536e-06,4.6424915303646015e-06
