S,p07,p08,p09
73,0.04444318194431476,0.04604352250430691,0.04761201257257725
74,0.05820501977744435,0.06024076361053416,0.06223458682412392
75,0.07544236441909906,0.07800470762035107,0.08051256831856367
76,0.09681636853079634,0.10000887306350902,0.10313141599351458
77,0.12306430814078727,0.12700320452526903,0.1308532884062787
78,0.1549990325479972,0.15981327297880335,0.16451600098583974
79,0.19350673553698264,0.19933776986059232,0.2050302509201549
80,0.23954297602247437,0.24654423073684648,0.25337505307588254
81,0.2941269331964503,0.30246298258823995,0.31059138967975247
82,0.3583339405998961,0.36817936891802217,0.3777741374354999
83,0.43328640248938155,0.4448243662178412,0.456062395414809
84,0.5201432516698911,0.5335637610489209,0.5466283926733259
85,0.6200881581076564,0.635586106604124,0.6506652036056294
86,0.7343167399607815,0.7520897189879469,0.7693735394808686
87,0.8640230614814125,0.8842690049554148,0.903947914815479
88,1.010385724395825,1.0333004334016311,1.0555625062358027
89,1.1745538702697327,1.2003284719958374,1.2253570288418463
90,1.3576334109895396,1.386451808068102,1.414422950957967
91,1.5606737933307673,1.5927101597735125,1.6237903532270639
92,1.7846555826015542,1.8200719607229117,1.8544157133942099
93,2.030479120867681,2.0694231700836,2.107170865315798
94,2.2989544788949825,2.3415574222905824,2.382833341451189
95,2.590792879462381,2.6371676877979127,2.6820782642190033
96,2.9065997249575424,2.9568395706210153,3.005471905044151
97,3.246869315998015,3.3010463216275543,3.353466982547417
98,3.6119813019518214,3.670145600349023,3.7263997248614023
99,4.002198860218006,4.064377974054405,4.124488677025974
100,4.41766856030925,4.483867102263382,4.54783519411226
101,4.858421832231146,4.928621518819758,4.996425525152126
102,5.324377927190779,5.398537892875007,5.47013436285075
103,5.815348232821739,5.893405625125855,5.968729709868092
104,6.33104178515507,6.412912616645804,6.49187889436486
105,6.8710718055335125,6.956652034626898,7.039155555457819
106,7.434963082365693,7.52412989208275,7.610047412952722
107,8.022160014701093,8.114773256665364,8.203964634794973
108,8.63203513656714,8.727938906674536,8.820248619526977
109,9.263897947248132,9.362922259472453,9.458181019026025
110,9.917003882537124,10.018966408160447,10.116992838195168
111,10.590563274744737,10.69527111582301,10.79587346238003
112,11.28375016422764,11.391001632181206,11.493979479363736
113,11.995710841686254,12.105297214447338,12.210443180159666
114,12.725572017884625,12.837279251895328,12.944380640861388
115,13.47244853516238,13.586058911600105,13.694899305944888
116,14.235450552640664,14.350744240440946,14.461105011166092
