S,p07,p08,p09
177,24.81129919706433,24.76580709962093,24.79670189178762
178,24.992401699822153,24.958247435482406,25.00157584694449
179,25.173397532944364,25.150624835048774,25.20643698743754
180,25.35433178919604,25.342981595566982,25.41132454964412
181,25.535244331613427,25.53535501805797,25.616273005493895
182,25.716170328590948,25.72777792299874,25.821312559564547
183,25.89714074095326,25.92027911885708,26.02646960063595
184,26.078182764337754,26.11288382760435,26.231767111050175
185,26.259320230101224,26.305614069760708,26.437225036968925
186,26.44057396771231,26.498489012456616,26.642860622765596
187,26.62196213216461,26.691525283275297,26.84868871211563
188,26.80350049883984,26.884737253027424,27.054722019107658
189,26.9852027287655,27.07813728964865,27.26097137138197
190,27.167080606884753,27.27173598621917,27.46744592822452
191,27.34914425554038,27.46554236506853,27.674153375758692
192,27.531402325830356,27.659564060575548,27.881100101225798
193,27.71386216838465,27.853807482157578,28.08829134861881
194,27.896529986013263,28.048277959826606,28.295731357199827
195,28.079410969617413,28.24297987375317,28.503423484756496
196,28.262509419289472,28.437916769485128,28.71137031720039
197,28.44582885201916,28.633091460437043,28.91957376562999
198,28.62937209711447,28.828506118520636,29.12803515234188
199,28.813141381047558,29.024162354783556,29.336755287147298
200,28.997138402569078,29.2200612905944,29.545734534535484
201,29.18136439908494,29.41620362059254,29.754972873163155
202,29.36582020538694,29.612589668168,29.96446994810924
203,29.550506305564284,29.809219434728362,30.17422511706016
204,29.73542287865385,30.006092642562265,30.38423749067718
205,29.9205698390125,30.2032087732222,30.59450596850226
206,30.105946871664457,30.400567100636522,30.805029269878048
207,30.291553463667498,30.59816672066873,31.015805961407494
208,30.477388931351612,30.796006576608903,31.226834480895604
209,30.66345244435098,30.994085482016942,31.43811315836018
210,30.849743046803013,31.192402140275988,31.64964023407464
211,31.036259675757094,31.390955161911904,31.861413874626265
212,31.223001177294663,31.5897430796376,32.07343218672847
213,31.409966320659066,31.788764361495936,32.285693229157886
214,31.597153810567846,31.988017422442283,32.498195023374876
215,31.784562298066277,32.18750063411804,32.71093556230724
216,31.97219038979071,32.387212333715354,32.92391281837226
217,32.160036656234325,32.587150831289335,33.13712475010533
218,32.34809963868699,32.787314416548696,33.35056930804967
219,32.53637785558965,32.987701364269384,33.5642444396008
220,32.72486980771845,33.18830993907298,33.778148093252014
221,32.91357398295318,33.38913840015394,33.99227822253721
222,33.10248886006448,33.59018500411963,34.206632788751534
223,33.291612912515944,33.79144800886209,34.421209763839045
224,33.480944611150676,33.9929256756939,34.636007132285584
225,33.67048242684589,34.19461627177469,34.85102289350692
226,33.860224832746155,34.39651807218027,35.066255062876905
227,34.050170306141325,34.59862936117091,35.28170167322031
228,34.24031733005748,34.800948434137524,35.497360775937636
229,34.4306643945572,35.00347359813176,35.71323044168011
230,34.62120999814715,35.20620317342136,35.92930876116611
231,34.811952648478695,35.40913549380491,36.145593845649415
232,35.002890863325575,35.61226890760949,36.36208382723112
233,35.194023171228395,35.81560177792085,36.57877685930089
234,35.38534811208791,36.01913248338988,36.79567111675297
235,35.576864237668104,36.22285941830583,37.01276479590305
236,35.76857011179868,36.42678099268437,37.23005611459911
237,35.96046431091011,36.630895632870875,37.447543312440246
238,36.15254542424253,36.835201781514115,37.66522465029709
239,36.344812053887665,37.039697897321844,37.883098410543425
240,36.537262814970006,37.24438245553614,38.101162896914786
241,36.72989633579817,37.4492539477572,38.31941643419725
242,36.92271125792104,37.654310881842434,38.53785736785511
243,37.11570623607798,37.85955178183684,38.75648406441741
244,37.30887993815486,38.064975187960215,38.97529491060823
245,37.502231045444034,38.27057965652756,39.19428831345897
246,37.69575825224223,38.47636375973309,39.41346269990902
247,37.88946026594999,38.68232608559481,39.63281651681285
248,38.08333580705181,38.88846523777687,39.85234823027781
249,38.277383608898674,39.09477983539915,40.072056325726635
