S,p02,p03,p04,p05,p06,p07,p08,p09
71,0.00018452942082344825,0.0011464302597519183,0.0022449102472787974,0.003212590003048854,0.004062180192915266,0.004856372248784879,0.005683690323943225,0.00673362858527593
72,0.00026097921566881066,0.0015523713391141225,0.002987324450309803,0.004233962139221781,0.005319165247152924,0.006327452624355079,0.007372456291288021,0.00869192096769611
73,0.00036441466164105485,0.0020768056979009186,0.00392874595703252,0.005515678365430876,0.0068855546264678935,0.008150703202647325,0.009455380575729144,0.01109444133784443
74,0.0005026110387260085,0.0027463553133044716,0.005108695584621348,0.0071057206993407895,0.008815354349267501,0.010384990090095414,0.011995704776723848,0.014009174723050855
75,0.0006850424307675018,0.0035914213443455356,0.006571160109103413,0.00905658326111336,0.011167017657798262,0.013093342729475488,0.015060485497597753,0.017507503086156007
76,0.0009230829425485587,0.004646304695155035,0.008364312367725724,0.011424748300181697,0.014002583120786838,0.01634197985267427,0.018719612665529795,0.021662938110011964
77,0.001230196760432234,0.005949136322458415,0.010540048001050906,0.014269973397373903,0.017386768413896192,0.020199342198878867,0.02304437474176524,0.02654956463010727
78,0.0016221765250512554,0.007541778659914122,0.013153783270936081,0.01765476723147863,0.02138650853633628,0.024735193060454463,0.028106794669469082,0.03224124023315511
79,0.0021172596228330454,0.009469501918712986,0.01626330597970238,0.021643033198959216,0.02606895324608338,0.03001871945462753,0.03397731679344318,0.038809103153347735
80,0.0027362697177513162,0.01178053141148716,0.019928229899601746,0.026299255134754063,0.03150067845458793,0.03611741600240137,0.04072356063478111,0.04632008387961406
81,0.003502698478485833,0.014525566860434935,0.02420885991671895,0.03168688367249928,0.03774613538398697,0.043095517432423236,0.04840889772372847,0.05483559717411879
82,0.0044427642120759,0.017757323389488988,0.029165532489106027,0.03786776031633465,0.04486667148917434,0.05101297162468654,0.05709121508878923,0.06441028266301885
83,0.0055852931654665205,0.02152909656105706,0.03485639971101406,0.04489955213182739,0.05291754257008563,0.05992213114591749,0.06681936948194078,0.07508808574918646
84,0.006961700833862938,0.025894811295223974,0.0413374723340354,0.05283553317081413,0.061948582374959926,0.06986895784155678,0.07763474585420482,0.08690442532266474
85,0.00860571405802979,0.030907273962377246,0.04866046454665707,0.06172261868275797,0.07200119667150062,0.08088953951101985,0.08956775876534095,0.09988211369105215
86,0.01055327804311279,0.03661776160068797,0.056872206943836545,0.07160049497745291,0.08310835630798152,0.09301018288887519,0.10263784266939524,0.11403252786479356
87,0.012841989624479133,0.043074330213777046,0.06601293678354381,0.08250016780841918,0.09529262379182057,0.10624537916115173,0.11685175049791496,0.12935233995037265
88,0.01551081693640377,0.05032130823146019,0.07611532237827845,0.09444283688431199,0.10856536225567481,0.12059826470789403,0.1322038145623594,0.14582564600296166
89,0.018599528861518166,0.05839788652650668,0.08720328348310602,0.10743942957525121,0.12292624695930954,0.13605848114828234,0.1486744283241137,0.16342202036057074
90,0.022148435169233593,0.06733816282356031,0.09929284616738698,0.12149065642397261,0.138364558699422,0.15260571695208114,0.16623363796597346,0.18210039032240388
91,0.026197426172824834,0.07716869088181255,0.11238943109503907,0.13658558173368363,0.15485650539659446,0.17020473919160395,0.1848361574907642,0.20180356274934752
92,0.03078524102306801,0.0879086137217655,0.1264872595552191,0.15270101849651496,0.17236531091313623,0.18880885743755016,0.20442502135509244,0.22246380293466927
93,0.03594951558660853,0.09956943602951185,0.14157205963094555,0.1698038820663328,0.19084516189593614,0.20836057323947443,0.2249328834302844,0.24400269582613987
94,0.04172526490986428,0.11215394168928583,0.15761806304581683,0.18784962474427402,0.2102380380897273,0.22879159677913208,0.2462822168425305,0.26633208971560407
95,0.04814479925840942,0.125656024474452,0.1745895428229005,0.20678476708724247,0.23047623809446804,0.2500238682756617,0.2683856914487137,0.2893549178040189
96,0.055236362705990416,0.14005950288442648,0.19243922011469294,0.2265424514646952,0.2514807473374958,0.27196938034990126,0.2911464402899355,0.312966252913327
97,0.06302512400857552,0.1553413953025995,0.21111484782565526,0.2470525783948574,0.2731709081160716,0.29453703920268026,0.3144668525578709,0.3370602907892817
