S,p02,p03,p04,p05,p06,p07,p08,p09
82,0.26159520658970353,0.8813716885096995,1.340793106903715,1.6643362989508803,1.91145543884913,2.1203243498305047,2.3201959470986466,2.552682041844223
83,0.32431198888103335,1.0495475554015559,1.5708040239313659,1.9321691080433079,2.205496789199901,2.434901115410948,2.6531275154142997,2.905396000716931
84,0.39846908466022524,1.2392361205845748,1.825055738838982,2.2247951205214833,2.524182246832485,2.7736801189387483,3.0096019207764835,3.2806122712000785
85,0.4853441417227919,1.4512262403411358,2.103499259824143,2.5415159388481046,2.86631103295909,3.135040202177919,3.387603492867597,3.675868168884211
86,0.5862035656188647,1.6860114664173087,2.405658670967259,2.8811495314007285,3.2301725039177165,3.5168383519496027,3.784591224432199,4.088180864512125
87,0.7022725767206334,1.9437516517128994,2.7306103000565574,3.242026169107959,3.613555958289494,3.916431485624372,4.19753201514439,4.514093795722762
88,0.8347030527076221,2.2242413362563718,3.0769735570057577,3.6219981471041773,4.013775161987865,4.330713325264579,4.622949029574608,4.949737845524882
89,0.9845400191910159,2.526886295968478,3.4429141127267915,4.018463260967997,4.427706986592783,4.7561652676664234,5.056983618328403,5.3909052247558265
90,1.1526877604992047,2.85068935645838,3.8261596122485253,4.428401466748388,4.851843003311207,5.188919615558563,5.495468736735898,5.833133528355683
91,1.33987659480847,3.194246243038712,4.2240276366373175,4.848423649230771,5.282352386944966,5.6248330808095215,5.934011387367377,6.271797098915677
92,1.5466313891328298,3.55575187510504,4.633465168538131,5.274830977411993,5.715154082760465,6.0595681246988775,6.368081332138731,6.702202635421317
93,1.7732428768174602,3.933017133527228,5.0510983977292145,5.703682958547729,6.145995889621503,6.4886794707363915,6.7931031655243945,7.119685929694031
94,2.019742784561962,4.323495755417794,5.473291345188258,6.130872026612888,6.570537923601405,6.9077030203013035,7.204548821311274,7.519706693506212
95,2.28588367861271,4.724320654404535,5.896211498617188,6.5522023255382145,6.984437851017544,7.31224441450129,7.598027683881625,7.897938640450963
96,2.5711243055018262,5.132348646002538,6.3159004510870975,6.963470274143901,7.383435312335873,7.6980646105928585,7.969371685692117,8.250352292151764
97,2.8746210378607917,5.544212287292849,6.728347419729941,7.360544525258916,7.763433094114536,8.061160063024264,8.314713074539792,8.573288362629938
98,3.1952258468234684,5.956377326685747,7.12956349478544,7.7394430494193145,8.12057282641998,8.397835402971232,8.630552905697364,8.863520019888327
99,3.531491018681776,6.36520411258612,7.515654525176441,8.09640527005051,8.45130327734367,8.704766871687752,8.913818735138967,9.118302797865852
100,3.8816806226832368,6.767011227714059,7.882890678607701,8.427957440328981,8.752439661037226,8.979055168523153,9.161910437178733,9.335411418325279
101,4.243788528388026,7.158139603559155,8.227770909265963,8.730969764239038,9.021212756505914,9.218266795549823,9.372733524397603,9.51316325583651
102,4.615562572594656,7.535015415947033,8.547080813974262,9.00270410870263,9.255307030617832,9.420463406351054,9.544719782930144,9.650428621439389
103,4.994534295633124,7.894210171508487,8.837942642330177,9.24085151534193,9.452887350183126,9.584219070819522,9.676835447014476,9.746628438125349
104,5.378053510004532,8.232496547651014,9.09785653347317,9.443559079462815,9.612614246408135,9.708625745119548,9.768577499258413,9.80172022324588
105,5.763326837268101,8.54689874529857,9.324732371331912,9.609446112710529,9.733648039258469,9.793287566353115,9.819958995382905,9.816173566821185
106,6.147459253852405,8.834736334837334,9.516911961062746,9.73760982490024,9.81564243411448,9.838304872764603,9.831484557776271,9.790936506295367
107,6.52749762559135,9.093660819596838,9.673181529605834,9.827621045661594,9.858728459160027,9.844249073598377,9.804117376650545,9.727394336782602
108,6.900475185417365,9.321684391687679,9.792774826107298,9.879510749923881,9.863489817290017,9.812129658031132,9.739239176180803,9.627322472001154
109,7.263455915815786,9.517200599353792,9.875367339198249,9.893748345919384,9.830930871892463,9.743354738960264,9.638604669355288,9.492834983921838
110,7.613577836915741,9.678996888959901,9.921062350732868,9.87121282962189,9.762438587230804,9.639686577962436,9.504292034092643,9.326330411756345
111,7.948094269443207,9.806259197771006,9.93036970792005,9.813158009546186,9.659739780767396,9.50319353862028,9.338650901700163,9.130436342479342
112,8.264412231890894,9.898568976858257,9.904178318587142,9.721173053041099,9.52485504996936,9.33619986921208,9.144249265711224,8.907954146684105
113,8.56012724305577,9.955893186077702,9.84372344583928,9.597139614880845,9.36005068713719,9.141234635734463,8.923820607185107,8.661805098846287
114,8.833053926200485,9.978567942967587,9.750549924261165,9.44318677668754,9.167789820594408,8.92098100940153,8.680212382143893,8.394978946348886
115,9.081251945501911,9.967276613735976,9.62647241475878,9.261644962546,8.950683913422353,8.678226983036552,8.416336869219165,8.110485805046252
116,9.303046944169058,9.923023203852743,9.473533788249,9.054999904369865,8.711445624545178,8.41581843301853,8.135125198869275,7.811312082308675
117,9.4970462917221,9.847101948281534,9.293962668177613,8.825847621434235,8.452843897828188,8.136615290856852,7.839485212519648,7.500380941083407
118,9.662149582854163,9.741064018387036,9.090131080542463,8.576851250481354,8.177661993622465,7.843451423079628,7.5322636433305945,7.180517648661677
119,9.797553953947435,9.606682239988729,8.864513062967205,8.31070043210147,7.888659028747469,7.539098662894261,7.21621292946395,6.854419997193162
120,9.90275439906263,9.445914688841484,8.619644972842622,8.03007381907861,7.588535446148015,7.226235282855598,6.893962845246904,6.524633831652693
121,9.977539366095023,9.260867971319087,8.35808811906702,7.737605137645431,7.2799026876957385,6.907419065704801,6.567996979445212,6.193533602747436
122,10.021982000694152,9.053760918646958,8.082394218025257,7.435853102215617,6.965257224873511,6.585064997732815,6.240633984369026,5.863307751159397
123,10.036427471695752,8.826889362127943,7.795074062570961,7.127275362748264,6.6469589725492995,6.261427505833694,5.914013423513609,5.535948648507372
124,10.021476866084456,8.582592540768985,7.4985696670459845,6.814206549243806,6.327214020185323,5.938587063969436,5.590085951254764,5.213246738904331
125,9.977968175438612,8.323221617905219,7.195230060617064,6.498840384239202,6.008061519722219,5.618440920649448,5.270607499028301,4.896788500730054
126,9.906954916347743,8.051110680806772,6.887290784103328,6.183215746169424,5.691364501014817,5.302697638551734,4.957137108956289,4.5879577879581745
127,9.809682929926566,7.768550509252847,6.576857075071274,5.869206494626411,5.378804328959319,4.992875093652316,4.65103800774358,4.287940117109201
128,9.687565900424744,7.47776530076294,6.265890641543592,5.558514812982196,5.071878476190506,4.690301559389098,4.35348149649073,3.9977294454018875
129,9.5421601088308,7.180892470897149,5.956199862495737,5.25266778552691,4.771901255189448,4.396119474954219,4.065453254522566,3.718137007719946
130,9.375138910119318,6.879965558770351,5.649433207004506,4.953016881916739,4.480007141616227,4.111291503043901,3.7877616212078635,3.449801787240858
131,9.18826738166345,6.576900213648429,5.347075614672292,4.660740024071686,4.19715631165829,3.8366084863739047,3.5210474763047728,3.193202224132108
132,8.983377548990035,6.27348317040699,5.050447565242422,4.376845875686541,3.9241420290281326,3.5726989210971283,3.2657953339843004,2.948668796971532
133,8.76234454407765,5.9713640731295925,4.7607065345012245,4.102180026723801,3.6615995166933146,3.320039598211366,3.0223452968591857,2.7163971474308823
134,8.527063998942097,5.6720499841844685,4.4788505320880745,3.837432722377798,3.410015985565451,3.07896707653299,2.790905571750102,2.496461448533438
135,8.27943092756911,5.376902356086788,4.20572341637282,3.5831478245285098,3.1697414993558937,2.849689692663304,2.571565247801999,2.2888277662147516
136,8.021320294959722,5.087136253933977,3.942021679090857,3.3397327004713873,2.941000390226378,2.632299838598584,2.3643071036616448,2.0933671904721507
137,7.754569421303259,4.803821569883127,3.688302419497802,3.1074687638543708,2.723902973276182,2.4267862694671294,2.1690202163782146,1.9098685545593241
138,7.480962322770068,4.527886001852721,3.444992227308319,2.886522413021453,2.518457326399215,2.233046244164427,1.9855122199174957,1.7380505958541903
139,7.202216040980147,4.260119523937789,3.2123967237573936,2.676956146725473,2.3245809456007294,2.0508973270416675,1.8135210401126756,1.577573443576341
140,6.91996898090963,4.0011801214134834,2.9907105346538287,2.478739655611406,2.142112108991512,1.8800887130865362,1.6527260162035873,1.428049344234239
141,6.63577122978154,3.751600544550371,2.7800274797940006,2.2917607299710596,1.9708208134616712,1.7203119652720034,1.5027583110338583,1.289052573447691
142,6.35107680752256,3.5117958612751465,2.580350803693676,2.1158358339690153,1.8104191755696775,1.5712110847232452,1.3632105541461215,1.1601284887774455
143,6.0672377651549425,3.2820715974324344,2.391603285900601,1.9507202389590361,1.6605712131223527,1.432391851885484,1.2336456792638728,1.0408017232066413
144,5.785500029151791,3.062632278840738,2.2136370998993016,1.7961176218861397,1.52090195058463,1.3034304052084167,1.1136049465676479,0.9305835081363512
145,5.507000874374057,2.8535901935455854,2.046243305571238,1.6516890602247258,1.3910058031640915,1.183881034698686,1.002615134737539,0.8289781561643395
146,5.232767883622813,2.6549742286086087,1.8891608920768022,1.5170613805537414,1.2704542249153405,1.0732831951543176,0.900194928590281,0.7354887232224883
147,4.963719262764954,2.46673864765512,1.7420852994476377,1.3918348266983571,1.1588026095665782,0.9711677416746056,0.8058605281746622,0.6496218968976564
148,4.700665354437916,2.288771687570801,1.6046763686006216,1.2755900302963141,1.0555964579950228,0.8770624220133527,0.7191305107312473,0.5708921521119237
149,4.444311203268825,2.1209038830249938,1.4765656906945424,1.1678942973603057,0.9603768266686075,0.7904966433258664,0.6395299762473883,0.49882522663580176
150,4.195260026804704,1.9629160407319546,1.3573633283670006,1.0683072008177419,0.8726850845874878,0.7110055685899397,0.5665940501486944,0.43296097096856556
151,3.9540174424423924,1.814546801490735,1.2466639148200898,0.9763855187117088,0.792067019048659,0.6381335714777947,0.49987076717883383,0.3728556268356442
152,3.7209963148221448,1.675499734865582,1.1440521263139658,0.891687535400365,0.7180763199698958,0.5714371021525722,0.43892340187312584,0.3180835900096213
153,3.4965220882021697,1.5454499499156782,1.0491075442686792,0.8137767408555874,0.6502775002203975,0.5104870217209623,0.3833322931612315,0.26823871756676
154,3.280838485739679,1.424050185256931,0.9614089311682505,0.7422249692723426,0.5882482836128133,0.45487043813352557,0.33269622559117806,0.22293522011551659
155,3.0741134538736503,1.31093637413926,0.8805379456688911,0.6766150135817384,0.5315815139539382,0.404192108760526,0.28663339566747936,0.1818082097670981
156,2.8764452580709587,1.2057326860315243,0.8060823285305219,0.6165427621596109,0.4798866360644638,0.3580754426479871,0.24478203808797616,0.14451392917891326
157,2.6878686317033385,1.108056048693129,0.737638593015788,0.5616188929025157,0.4327907815593335,0.31616317233584823,0.2068007377076242,0.11072972856851493
158,2.5083608945486446,1.017520167465591,0.6748142575574434,0.5114701864883386,0.38993951982035924,0.27811770813457315,0.17236848698587437,0.08015381769865826
159,2.337847977926799,0.9337390624253317,0.6172296651385523,0.46574047502190297,0.35099730464338563,0.2436212449197228,0.1411845161314318,0.05250482782770405
160,2.176210286819469,0.8563301301833803,0.5645194122294583,0.42409128553799746,0.3156476605425951,0.21237564297393874,0.11296793172022035,0.027521244447825666
161,2.023288356056696,0.7849167909768084,0.5163334451196988,0.38620221030072344,0.2835931496036892,0.18410212625497024,0.08745721917335914,0.004960698909428629
162,1.8788882508857796,0.7191307135911984,0.47233784272293633,0.3517710435829713,0.2545551446786476,0.15854082704436223,0.06440960884646074,-0.015400812927168772
163,1.7427866917785195,0.6586136671415943,0.43221532909143434,0.3205137154083104,0.22827345173226377,0.13545020866700952,0.04360034910888544,-0.03376978376934403
164,1.6147358634199804,0.6030190368733201,0.3956655595160896,0.2921640501085676,0.20450580258568607,0.11460638834392967,0.02482191863606431,-0.050336094297165346
165,1.4944679081096979,0.5520130131841938,0.3624051890582791,0.266473392578348,0.1830272430325408,0.0958023909092276,0.007883176031953099,-0.06527394084798743
166,1.3816990749759839,0.5052755109602458,0.332167773073877,0.24321011423467098,0.16362944865733198,0.07884734895213796,-0.007391511296361841,-0.07874276821695503
167,1.2761335401023643,0.46250081883414396,0.30470352058387107,0.2221590229822823,0.14611997475100225,0.06356566231602301,-0.021163171055604835,-0.0908882094208252
168,1.177466877209099,0.42339804455338026,0.27977892440134156,0.2031207144881364,0.1303214703440858,0.04979614242728303,-0.033579115950033156,-0.10184300734294993
169,1.0853892039364155,0.38769134537375294,0.25717628762578215,0.18591085488850467,0.11607086754850116,0.03739115356893308,-0.04477383345857788,-0.11172791786862035
170,0.9995879910817962,0.35512000195581095,0.23669317783969746,0.1703594436364142,0.10321855608452779,0.026215746231628145,-0.054869864847262306,-0.12065258776061683
171,0.9197505671565409,0.32543832492848423,0.21814181174306668,0.15631003964955426,0.09162755780778298,0.016146816257389673,-0.06397865465856967,-0.12871639363254417
172,0.8455663184747664,0.298415468478197,0.20134840401198062,0.14361898728054712,0.08117271114826963,0.007072277199426935,-0.07220136794217069,-0.1360092516478062
