S,p02,p03,p04,p05,p06,p07,p08,p09
88,0.002876302670762332,0.007664043183974734,0.010601780895402868,0.012479265022458108,0.013828758385070472,0.014920410347230018,0.015926931915544174,0.017052404854833725
89,0.0033167499750852425,0.008512064864074631,0.011597195693768825,0.013535419104426794,0.014913493644463927,0.016019472670603108,0.017032332694233432,0.018156589678408608
90,0.0037973216589215486,0.009390352426197346,0.012602920899107417,0.014586100886004871,0.015980384870939446,0.01709022452445197,0.018099496421619676,0.01921114490599507
91,0.004317417001131751,0.010291776247894902,0.013608911404450197,0.01561998067667325,0.017017471283242713,0.018120375848695858,0.01911597638182272,0.02020362373622575
92,0.004875782234625703,0.011208516763616672,0.014604808507012734,0.016625740857367788,0.018013063700639265,0.019098127930217146,0.020070024091545235,0.021122513353954986
93,0.005470493555648215,0.012132207722892474,0.01558015143565683,0.017592312224756768,0.018955989280478036,0.020012418397996612,0.020950831058907937,0.02195746568789403
94,0.0060989557271184935,0.013054092370401449,0.016524588160038434,0.018509097274854724,0.019835813542812275,0.020853137070453442,0.021748732150772554,0.022699483581689606
95,0.006757917089261767,0.013965190510667469,0.01742808141580454,0.01936617920694772,0.020643041007684104,0.021611312801539384,0.022455377681751543,0.023341069579352336
96,0.007443501093273852,0.014856470789137433,0.018281103779660413,0.02015450807357766,0.021369284821659562,0.022279266027602773,0.023063864462713468,0.02387633062816974
97,0.008151252930410635,0.015719021786431142,0.01907481459451077,0.020866058476620708,0.02200740302882309,0.022850721843603594,0.023568825580078112,0.024301036058993475
98,0.008876200709440063,0.01654421822205876,0.019801216120107767,0.021493958861640294,0.022551599530018507,0.023320885009781023,0.023966477735726244,0.02461263413078285
99,0.009612929593449948,0.017323877399277876,0.020453285705102076,0.022032588700149347,0.02299748941059221,0.02368647599837459,0.024254630108799802,0.02481022657541132
100,0.010355666566486121,0.01805040316327222,0.02102508016577076,0.022477641201668064,0.023342128407932705,0.02394573241026876,0.02443265747054113,0.024894509973449885
101,0.01109837344248632,0.018716910969995837,0.021511812153818255,0.022826155801070058,0.02358400821744766,0.024098372368719367,0.024501434534585087,0.024867677934636845
102,0.011834845876634859,0.01931733470073027,0.02190989613293226,0.023076514090725198,0.023723018411914154,0.02414552866980557,0.02446324542049183,0.024733303121138306
103,0.012558815816188229,0.01984651119890657,0.022216967794363995,0.023228414818277088,0.02376038223950161,0.024089655683567912,0.024321663723014808,0.024496190533795925
104,0.01326405399071362,0.02030024305099687,0.022431874069361868,0.02328280994667864,0.023698565030372265,0.023934414183912622,0.02408141797083374,0.024162220180201643
105,0.01394447145752764,0.02067533855232284,0.02255464131017959,0.02324183272506275,0.0235411667759422,0.02368453971612894,0.02374823959705452,0.02373817729939276
106,0.014594216399821391,0.020969628913292127,0.02258641861985211,0.023108695126339285,0.02329279417345731,0.023345695643328668,0.02332870194798886,0.023231576555815536
107,0.015207762669167124,0.021181961153970974,0.022529400194315485,0.022887570150231795,0.02295892144843492,0.022924318106021246,0.02283005115621961,0.022650482414121598
108,0.01577999352964099,0.021312178066779097,0.02238673663335078,0.022583472345516498,0.022545748157298817,0.022427464507757122,0.022260048266886656,0.02200334508373203
109,0.01630627249005201,0.02136107292827205,0.022162431712047237,0.02220212424575152,0.022060054218897562,0.021862653065696236,0.021626801824936592,0.02129883089452278
110,0.01678250319159247,0.021330330994828728,0.02186122364911114,0.021749816889737872,0.021509045877721178,0.021237712655164387,0.020938616867027804,0.020545668384386317
111,0.017205177242907155,0.021222458101988195,0.021488470842712104,0.021233274276610814,0.020900218267172477,0.020560636091460083,0.0202038485497269,0.019752510933557232
112,0.01757141229852266,0.021040699538232843,0.02105003065189237,0.020659524331279044,0.020241221196926062,0.01983944972749896,0.019430775104467557,0.01892781211765282
113,0.01787897495386659,0.0207889519643345,0.02055214108231951,0.020035774195292788,0.019539736513252137,0.019082093789535293,0.018627483662214672,0.018079718504537823
114,0.01812628806607819,0.020471663120247285,0.020001294185334473,0.019369280650494147,0.01880335025461477,0.018296306727449974,0.017801759248925464,0.01721597550741194
115,0.01831243108263436,0.020093734995896284,0.01940412968082228,0.018667250838433347,0.01803946187095562,0.01748953112112872,0.01696100550674373,0.016343848230349067
116,0.018437131790172145,0.019660430199408552,0.018767337905956083,0.017936744391988668,0.01725520151651949,0.016668843887401863,0.016112178116145515,0.01547007659752353
117,0.018500734926263362,0.01917726820011012,0.018097545328998876,0.017184583018803323,0.016457334943709157,0.01584088069606082,0.015261720758275032,0.014600819788768149
118,0.018504177434763847,0.018649935320524946,0.01740124627502837,0.016417279500302584,0.01565222270016875,0.015011789571417467,0.014415533584610785,0.013741634390385116
119,0.01844894637059724,0.018084199453483052,0.016684718140425048,0.015640982020670435,0.014845765843318759,0.01418720129819917,0.013578947868353453,0.012897465069272585
120,0.01833702985010177,0.017485821768303822,0.015953954921599234,0.014861417874101335,0.014043364018334614,0.01337219380559418,0.012756703142713377,0.012072631463411199
121,0.01817086974220672,0.01686048625160197,0.01521462181131028,0.014083865131908624,0.013249904959877767,0.012571289147444986,0.011952956917582469,0.011270848325750649
122,0.01795330490494962,0.016213735793968453,0.014472008853516627,0.013313124505032192,0.012469748504884137,0.011788454123973224,0.01117129020400398,0.010495239983754345
123,0.01768750800046348,0.015550904350902783,0.01373098735157896,0.012553497779066447,0.011706713110015698,0.011027095077054128,0.010414713500495054,0.009748357072680847
124,0.017376938830082622,0.01487707876890454,0.01299601237292336,0.011808806199553601,0.010964111396560838,0.010290089278441883,0.009685701591877205,0.00903222019843497
125,0.017025273484350123,0.014197056295017774,0.012271086298198952,0.011082368658321684,0.01024473284871874,0.009579802160430972,0.00898622598555221,0.008348353865983427
126,0.01663634970228145,0.013515302050848277,0.01155975848377011,0.010377017147789047,0.009550880868403056,0.008898109236099572,0.00831777146714785,0.007697815114227069
127,0.01621411700014619,0.012835941110012072,0.010865144020044681,0.009695126585995695,0.008884402795672486,0.008246436600245488,0.007681390776781427,0.007081247552775949
128,0.01576257833590944,0.012162733167286888,0.01018991358847643,0.009038634551927771,0.008246708738113284,0.007625793330134911,0.007077738644056808,0.0064989222892108955
129,0.015285739003445542,0.011499056533637031,0.00953631257516463,0.008409050522573125,0.007638805996634801,0.007036796709769533,0.006507094170160599,0.005950760701978197
130,0.014787564097673567,0.010847925153711913,0.008906185016144263,0.007807496054113017,0.00706133704397871,0.006479735468190029,0.005969435470376538,0.005436414660664468
131,0.014271941903842844,0.010211971286366861,0.008300995730792238,0.007234742618322798,0.006514620274344907,0.005954581148159832,0.0054644436531248175,0.004955267236539385
132,0.013742638937941365,0.009593467567015068,0.007721850003861164,0.006691241658529634,0.00599866851302977,0.005461040792908989,0.004991569113599326,0.004506497788270281
133,0.013203273780959535,0.00899432844647663,0.007169525382266784,0.006177134217466573,0.005513243586108274,0.004998586149440598,0.004550047236762111,0.004089106298010847
134,0.01265728570842839,0.008416132075694804,0.006644496473029449,0.00569231605851428,0.005057872023428445,0.004566494418156708,0.004138941136488938,0.003701949431444973
135,0.01210792172301467,0.007860142581250784,0.0061469704348837695,0.005236452480517073,0.004631894441331497,0.00416387486268377,0.00375718119727253,0.0033437762070320787
136,0.011558211880924318,0.007327315856286987,0.0056769121670186,0.004809017291051987,0.00423449101560891,0.0037897016014198925,0.0034035809193255773,0.0030132471096067093
137,0.011010955098811337,0.006818339599590217,0.0052340665135375275,0.004409308189678995,0.00386470006219497,0.003442846434609237,0.003076876247121163,0.0027089697240967325
138,0.010468715405664852,0.006333644329004073,0.004817998906503362,0.004036489471559435,0.0035214601723509986,0.00312209547104203,0.002775740135518845,0.002429516499091733
139,0.009933818958529628,0.005873433970293718,0.0044281172151272585,0.0036896152977305974,0.0032036319552730674,0.0028261843709742607,0.002498814453133491,0.0021734446420396125
140,0.00940834642193522,0.005437702377264486,0.00406369171201959,0.0033676478849997693,0.002910011538403978,0.0025538029291283237,0.0022447172653983216,0.0019393107208998117
141,0.008894139682524838,0.005026263103502515,0.003723890458218193,0.0030694861408164797,0.0026393649221745363,0.002303630779465493,0.0020120682364677123,0.0017256903106499522
142,0.008392797390399664,0.004638771073928183,0.0034077755728390002,0.0027939757529793496,0.0023904180324052504,0.0020743415518609254,0.001799500708443702,0.001531187905357001
143,0.007905699810351052,0.0042747417694499745,0.003114363984479951,0.002539936403422871,0.0021619139545236976,0.0018646220922846624,0.0016056760188121189,0.0013544458710157414
144,0.007433997737393838,0.0039335716550681354,0.002842609809761143,0.002306178430444561,0.001952586075049112,0.0016731728180729988,0.0014292788108605237,0.0011941521194103188
145,0.006978640669785818,0.003614568875320856,0.0025914374646163196,0.002091505137968852,0.0017611999680866575,0.0014987427476853554,0.0012690532003034605,0.001049051974177928
146,0.006540372297081376,0.003316951193710338,0.002359752784286684,0.0018947330460150624,0.0015865378344415149,0.0013401101028875928,0.0011237777641781577,0.0009179464655062475
147,0.0061197563994142,0.0030398794947927854,0.002146454676221765,0.0017146914643717537,0.0014274224469090768,0.0011960993617776694,0.000992297231050543,0.000799697374986863
148,0.005717188038545373,0.0027824717818702993,0.0019504529547020866,0.0015502606487416415,0.001282725179407862,0.0010655907090040273,0.0008735048595553963,0.0006932305041118525
149,0.005332897146104187,0.002543806942867377,0.0017706617683188597,0.0014003374104731847,0.0011513550646213844,0.0009475148488036211,0.0007663581413908105,0.000597535816382333
150,0.0049669804269569795,0.0023229460310858485,0.0016060324981026497,0.0012638632540529215,0.0010322795418460373,0.0008408569840412383,0.0006698714116737392,0.0005116649504088855
151,0.004619400364447301,0.0021189398324850117,0.0014555300253960013,0.0011398278587648747,0.0009245114540590293,0.0007446681138389977,0.0005831221017160715,0.0004347361226564317
152,0.00429000380108846,0.0019308368592874103,0.001318167690556038,0.0010272657391396933,0.000827122619284637,0.000658047838442144,0.0005052513074588205,0.00036592957997072517
153,0.003978539204751996,0.0017577029609583406,0.0011929874688121345,0.0009252626398392749,0.0007392377199266775,0.0005801620517331685,0.00043545306027681363,0.0003044847574074083
154,0.003684665408343335,0.001598607610731051,0.0010790762416945654,0.0008329582357191612,0.0006600389212962909,0.0005102251776634148,0.00037298057975476695,0.0002496975071153429
155,0.003407970154967188,0.001452648277222579,0.0009755675733913449,0.0007495430764947741,0.0005887629583867238,0.00044751033101420035,0.0003171466289586533,0.00020092080887934571
156,0.0031479705242531963,0.0013189530534418736,0.0008816412133683116,0.00067424892336021,0.0005246912593293018,0.00039134867790835415,0.0002673218091331364,0.0001575676122911318
157,0.0029041317617384266,0.001196672059222692,0.000796509738165696,0.0006063682889134725,0.0004671672826361828,0.00034112169089439703,0.00022291565926479961,0.00011908774411040213
158,0.002675889234637907,0.0010849974785287486,0.0007194617523964553,0.0005452397289218425,0.0004155858590593198,0.0002962583778298722,0.00018339726182148297,8.499412729179312e-05
159,0.002462629034027941,0.0009831425984430098,0.0006498039795133081,0.0004902602768197539,0.00036937933600711403,0.00025622817645398754,0.0001482681000197772,5.48214273976555e-05
160,0.002263716964989726,0.0008903815995608966,0.0005868934493946654,0.0004408395426480638,0.0003280275251427156,0.000220557510033359,0.00011709580860497226,2.8176003752378165e-05
161,0.002078507961300602,0.0008059962652851027,0.0005301421168724119,0.00039647886751481565,0.0002910547181045331,0.000188799518241467,8.945413298988569e-05,4.664215680350026e-06
162,0.0019063416090148166,0.0007293305515077009,0.0004789921348447024,0.0003566850637071184,0.00025802535219554557,0.00016055253126978641,6.498005689081765e-05,-1.6041141748246446e-05
163,0.0017465579560393962,0.0006597705493049943,0.0004329368152866664,0.0003210085708360566,0.0002285461420115098,0.00013546603838676674,4.3348933331799344e-05,-3.423743066832685e-05
164,0.001598498187149744,0.0005967167027165488,0.00039150599207005143,0.00028905745352858503,0.00020225179753197153,0.00011319301052026276,2.4240449647550122e-05,-5.0215049895996344e-05
