S,p02,p03,p04,p05,p06,p07,p08,p09
57,-1.1823110124778025e-05,-0.00017728066826871804,-0.0004905597648941553,-0.0008493126698629203,-0.001219448706673993,-0.001607974682484712,-0.0020536680732430954,-0.002676541145276453
58,-2.077670680497961e-05,-0.0002969215069956922,-0.0008053489865997868,-0.0013787203751180201,-0.0019646265472575415,-0.0025753732708038617,-0.003271907557824313,-0.0042396378162935944
59,-3.5639843636593224e-05,-0.000486207162329314,-0.0012933683052034092,-0.002190096291796142,-0.003097864437393795,-0.004037701891507887,-0.005103458289874206,-0.006575689210990869
60,-5.9730130092211484e-05,-0.0007791041466636111,-0.0020337666714701557,-0.003407398072174321,-0.0047852465298879165,-0.006202323324550224,-0.007800335865736073,-0.00999546989022504
61,-9.788252318220846e-05,-0.0012227407151586514,-0.0031339485158143653,-0.005196679343488627,-0.007247297247909747,-0.009342660736581392,-0.011692752209592185,-0.014903338333268004
62,-0.00015696329011299462,-0.0018809826005684047,-0.004736341729732231,-0.007775371332642683,-0.01077026377398104,-0.013811194073084825,-0.017203748584264756,-0.021813740451365173
63,-0.00024647438427493674,-0.002838386180601143,-0.007025580946465524,-0.011421858292424094,-0.015717500953125563,-0.020052324246469713,-0.024863404678192095,-0.031366859569055584
64,-0.00037922609729793634,-0.00420434415437217,-0.010235694111332154,-0.016484726595483164,-0.02254015623456515,-0.028614135157177718,-0.03532148329250513,-0.04434206294987831
65,-0.0005720335909075374,-0.006117145941141163,-0.014656737050343696,-0.023390896329436462,-0.031786166501105155,-0.04015789063478512,-0.049357175507346855,-0.06166760550741766
66,-0.0008463642906652771,-0.00874757630099067,-0.02064018517080831,-0.032651696706379886,-0.044106431593088066,-0.05546396393602184,-0.06788448567338526,-0.08442495086061783
67,-0.0012288285279120016,-0.012301579164657574,-0.02860227858632883,-0.044865842075164794,-0.06025694333146039,-0.07543283565376106,-0.09195176455890292,-0.11384608444577234
68,-0.0017513664132990118,-0.017021429132742162,-0.03902444264529293,-0.06071822253533132,-0.08109564388079225,-0.10107983206221215,-0.12273398231932406,-0.1513023413225685
69,-0.002450941755124379,-0.023184791336378952,-0.052449884998631395,-0.08097345791489001,-0.10757287852767995,-0.1335224237084117,-0.16151654203103108,-0.1982835602803834
70,-0.003368511825682812,-0.031101022121383437,-0.06947551531778945,-0.10646328698284638,-0.14071450347048034,-0.17395916825074398,-0.20966977013347132,-0.2563668009564849
71,-0.004547003655729238,-0.04110407798069999,-0.09073845267170556,-0.13806707924931003,-0.1815970083988299,-0.22363975663708635,-0.26861367132369873,-0.32717440380658336
72,-0.006027997636446524,-0.0535414656873161,-0.11689658089595358,-0.17668506067076212,-0.2313144063476707,-0.2838260915204475,-0.33977307970932974,-0.41232180340469177
73,-0.007846802173383158,-0.0687587867083084,-0.1486028800642771,-0.22320422483006475,-0.2909371100507117,-0.35574486519145476,-0.42452394256220755,-0.5133561829370935
74,-0.010025603539142976,-0.08707960359804418,-0.1864735916836697,-0.27845733765914754,-0.3614635271109648,-0.4405326769983498,-0.5241320972880954,-0.6316877342318419
75,-0.012564396969288702,-0.10878058044618832,-0.23105064941895784,-0.3431759099159829,-0.4437656319206513,-0.5391752975459438,-0.6396865013097701,-0.7685159127667411
76,-0.015429451531464395,-0.13406211419971598,-0.28275920366926455,-0.417938476253997,-0.5385302731556154,-0.6524432071593246,-0.7720294030278824,-0.9247536020228194
77,-0.01853913407279962,-0.16301496513218341,-0.34186146116396143,-0.5031159496139609,-0.6461984143137963,-0.7808259689343878,-0.9216863579202039,-1.1009524834889686
78,-0.021747016579874105,-0.19558369580603313,-0.4084084222866147,-0.5988161823239065,-0.766904846569863,-0.9244683069601529,-1.0887992623662892,-1.2972331145122626
79,-0.02482231456798654,-0.23152801922720032,-0.48219140205069294,-0.7048301316649491,-0.90042112947879,-1.0831109208257452,-1.2730656742781288,-1.513223225520037
80,-0.027427847608029084,-0.27038341838197083,-0.5626954413501223,-0.8205821746179391,-1.0461045854194662,-1.2560390614935566,-1.4736876016010216,-1.7480075546098774
81,-0.02909587080332926,-0.31142261157965784,-0.6490568339510595,-0.9450871287587994,-1.2028560877660381,-1.4420417158980625,-1.689332667870627,-2.000092149331248
82,-0.02920229026055262,-0.35361958389820286,-0.7400269987716368,-1.076916407625679,-1.3690891410680388,-1.6393839050769854,-1.9181101218036705,-2.2673855045270725
83,-0.026939937402211366,-0.39561797108960683,-0.8339448108983585,-1.2141754726863963,-1.5427123651376273,-1.8457941114290137,-2.1575635705213037,-2.5471982048058504
84,-0.02129172666584262,-0.4357055598397115,-0.9287192710205407,-1.3544943528835618,-1.7211269846959003,-2.058468242681999,-2.4046816180127273,-2.8362619427784703
85,-0.01100464895886881,-0.4717965540306984,-1.0218240517314583,-1.4950325073677495,-1.9012403208749,-2.274090848615212,-2.6559268230110176,-3.1307679370998263
86,0.005434350003408889,-0.5014230530952859,-1.1103050275716146,-1.6324987347329094,-2.07949561483477,-2.488873571402095,-2.907282598113897,-3.426423926827865
87,0.029819499618295026,-0.5217369037306657,-1.1908013964688573,-1.7631862145433774,-2.2519178245407887,-2.6986100731786586,-3.1543168994343396,-3.7185281180152074
88,0.06424322317330824,-0.5295227332179103,-1.2595804600175176,-1.8830221380549406,-2.4141743612378086,-2.8987459854273476,-3.392260845087297,-4.00205774722196
89,0.11110796261138006,-0.5212225685367305,-1.312585577497044,-1.9876307784125247,-2.5616491081389747,-3.084461800437005,-3.6160997876562018,-4.2717693397790075
90,0.17313181332923172,-0.4929720104595109,-1.3454962724661679,-2.072408297561601,-2.689527521687501,-3.2507661059270054,-3.820673879161951,-4.52230730387545
91,0.25334710893466783,-0.4406474875471522,-1.353798978243509,-2.1326071146282986,-2.7928901807900974,-3.3925961727692022,-4.000784826806059,-4.748317230459553
92,0.3550912766391162,-0.35992368333883085,-1.3328664833908044,-2.1634272900131313,-2.8668118396238174,-3.5049226570376124,-4.151305354338963,-4.944560168721168
93,0.4819895030088797,-0.24633983182128505,-1.2780437995680738,-2.160112125551905,-2.906462865183812,-3.5828550770226397,-4.267287858315294,-5.106024212924409
94,0.6379289984853778,-0.0953732299550758,-1.1847379356128895,-2.1180450515563276,-2.9072099037730226,-3.6217447706682004,-4.344068873261608,-5.228029955288327
95,0.8270249171214189,0.09748196314687818,-1.0485089311076723,-2.0328448669206467,-2.864712716049589,-3.617282218905582,-4.377366219815615,-5.306326711061438
96,1.053578264077465,0.3366327716041062,-0.8651594819120256,-1.9004565129705275,-2.7750143361983115,-3.5655859190314887,-4.363366084425935,-5.337176880310657
97,1.3220263958637706,0.6263045394870215,-0.6308205752753149,-1.717234783772259,-2.634622030349343,-3.4632803883782204,-4.2987977431792945,-5.3174263473172445
98,1.6368869756171216,0.9704594335439243,-0.34203073436160913,-1.480018689202156,-2.4405769316629744,-3.3075613476144294,-4.180994168420815,-5.244559402847937
99,2.002696477200505,1.3727185288194166,0.004193261660700998,-1.1861945728401269,-2.190510691274916,-3.0962466492423957,-4.007937317218135,-5.116737277095673
100,2.42394452827242,1.8362895564149717,0.41029598148463187,-0.8337465234854236,-1.882687981523401,-2.827812054385337,-3.778287468356023,-4.932819964377622
101,2.9050055361117932,2.3639021844141017,0.8781346846751692,-0.4212930849531782,-1.516034196854954,-2.50141149539449,-3.491396524945456,-4.692371580244847
102,3.4500691453856036,2.9577524360041574,1.4089434037599657,0.05189025761080934,-1.0901481966862692,-2.1168819712498177,-3.147305711353221,-4.395649997453788
103,4.06307113092374,3.6194575367725967,2.003310337749453,0.5858628749792816,-0.605300403706055,-1.6747336886361097,-2.7467285489227944,-4.0435819436503095
104,4.747626329935028,4.350022140712961,2.661168707481365,1.18002470240679,-0.06241699472386841,-1.1761264693203266,-2.29102038169553,-3.6377251000705435
105,5.506965168171074,5.149816526576334,3.3818008225438234,1.8331350985836714,0.5369487135052253,-0.6228337834791375,-1.78213603280315,-3.180219011216856
106,6.343875236578844,6.018566997230579,4.163854743945894,2.543343760166561,1.1906562823806865,-0.01719603260239566,-1.2225774000941492,-2.673726798825804
107,7.260649234041505,6.955358367950604,5.0053726067273985,3.308232325415128,1.8960279454984796,0.6379351079803364,-0.6153329459165136,-2.121369772142412
108,8.259040414325435,7.958648106721111,5.903829400373262,4.12486509547394,2.6499063966248126,1.339259366891854,0.0361888960543677,-1.5266570460915396
109,9.340226468898194,9.026291400361952,6.856180796881395,4.9898471642147335,3.4487187066992497,2.083095617070585,0.7282303782350397,-0.8934122280817469
110,10.504782550081648,10.155576172114289,7.858918468708609,5.899388175706255,4.288544488693935,2.8654527490497905,1.4567572101400472,-0.22569912260266278
111,11.75266389950611,11.343266874401348,8.908131251117668,6.849369918052517,5.165186472849026,3.682101832976681,2.2175316143944634,0.47225175800411634
112,13.083198303506594,12.585655727799061,9.999570472522645,7.8354160072311,6.074241750356357,4.52864785849636,3.0061840046014865,1.196114286493799
113,14.49508835785338,13.8786199745351,11.128717798062748,8.852962007446141,7.01117208176667,5.400599512589643,3.8182818198053248,1.9415340517783264
114,15.986423296393726,15.21768366103422,12.290853999260953,9.89732446674596,7.97137183772989,6.293435653720092,4.6493942698346835,2.704190801829043
115,17.554699928071948,16.598082456314998,13.481127169422269,10.963767509516575,8.950232334509867,7.202667356365922,5.495151976978985,3.479855116710251
116,19.196852039694278,18.014830047235453,14.694619042757484,12.04756581221993,9.943201535829704,8.12389462385621,6.351300733149046,4.264438670884729
