S,p02,p03,p04,p05,p06,p07,p08,p09
22,2.733738234541697e-12,-2.8716830847567414e-12,-5.7295427583955555e-12,-3.682649423183014e-12,-1.1409831072643319e-12,1.1122798253561173e-12,3.0790282416390186e-12,4.924191551307289e-12
23,3.4472766721324103e-12,-4.197917463595302e-12,2.9858003352205676e-12,6.1220589214197935e-12,6.745312397692175e-12,6.227460553696347e-12,5.045268021149145e-12,3.0977623726891733e-12
24,-4.968973932088269e-12,5.510380439425524e-12,5.46277304372641e-12,1.4584649574768295e-12,-1.918625640468185e-12,-4.3873586140259604e-12,-6.187768246937954e-12,-7.46596664965301e-12
25,-2.5000410967561165e-12,3.211485335310528e-12,-5.33284095787513e-12,-7.767991933252052e-12,-7.411782126337949e-12,-5.988998636257818e-12,-3.9920222012428226e-12,-1.2517082053669434e-12
26,6.277307689739209e-12,-7.04984504590706e-12,-5.493115094857514e-12,-3.465743235995911e-13,3.5705076904579734e-12,6.229796278910247e-12,7.996436634080626e-12,9.017359256125924e-12
27,2.6828137816500334e-12,-3.4716679621460312e-12,6.430921080567812e-12,9.072288444248733e-12,8.49959480141177e-12,6.733956704201573e-12,4.332971160421732e-12,1.093470461680591e-12
28,-7.0086370714040216e-12,7.840190928899527e-12,6.905127777671204e-12,1.181346113600455e-12,-3.3975032192430575e-12,-6.624971402893045e-12,-8.875146727682156e-12,-1.0333308677294442e-11
29,-4.50815318120459e-12,5.570629093253011e-12,-5.9791487490975965e-12,-1.0166246386739952e-11,-1.0432834841200073e-11,-9.055823396626208e-12,-6.751942624342758e-12,-3.3255318688152462e-12
30,6.575469680959261e-12,-7.207276684092123e-12,-9.707469611318622e-12,-4.4736165535891065e-12,6.625079356098043e-13,4.7647109072877475e-12,8.037899034298215e-12,1.0752140611483228e-11
31,7.786028179544585e-12,-9.238053561283924e-12,2.828952657668962e-12,9.69513639045842e-12,1.2083000709005286e-11,1.2184612326766211e-11,1.0900736087536808e-11,8.117886631250195e-12
32,-3.5140745683624055e-12,3.5207591154030872e-12,1.2332511943537388e-11,9.845300461705888e-12,5.242329895494061e-12,6.714127793030463e-13,-3.651694421030723e-12,-8.08752621017453e-12
33,-1.076158171137222e-11,1.2388273608144028e-11,3.98029362162656e-12,-5.156242678505068e-12,-1.0498669831396006e-11,-1.3257171981596612e-11,-1.4320730243452386e-11,-1.3763124880439177e-11
34,-3.177181421423663e-12,4.219954469709806e-12,-1.1133650445742285e-11,-1.4356265568482936e-11,-1.2719236851039006e-11,-9.42065676995741e-12,-5.281115847043139e-12,5.356414468763609e-14
35,9.62279379741525e-12,-1.0677262004983524e-11,-1.2511647123548295e-11,-4.684205579537566e-12,2.4691063742177805e-12,7.967679931900468e-12,1.220620634052163e-11,1.5543990296933204e-11
36,1.1175605749402613e-11,-1.3140589109120479e-11,2.439615680010029e-12,1.2301452595157406e-11,1.627645111259e-11,1.7131451416876644e-11,1.6099005861358008e-11,1.3144268115336703e-11
37,-1.014515941231567e-12,5.657952513705724e-13,1.6113007525558822e-11,1.6232217770045463e-11,1.2152290102709884e-11,7.33141644513144e-12,2.460296752940205e-12,-2.632356124829657e-12
38,-1.3198019194767654e-11,1.514453251106944e-11,1.289520771480761e-11,3.2777309003892952e-12,-3.372433709271818e-12,-6.92196082117567e-12,-7.875855254937172e-12,-5.486399510674445e-12
39,-1.1649441655133343e-11,1.47079508309674e-11,-2.169891088659565e-12,-7.871025228557068e-12,-5.079264887916781e-12,2.587349834971767e-12,1.4591659137788793e-11,3.454752157294285e-11
40,2.612275511518893e-12,7.380537670612562e-13,-6.455857062494217e-12,9.963779379965197e-12,3.475540226457599e-11,6.421145493226907e-11,1.0045950216659989e-10,1.5442640816641385e-10
41,1.5655344607547172e-11,-7.814192129428097e-12,2.571843601063119e-11,8.413179828258051e-11,1.5043758646253067e-10,2.2492897035434572e-10,3.164598841819953e-10,4.5537803900507035e-10
42,1.5118595920071837e-11,1.2857800868146404e-11,1.2342960470940088e-10,2.6814446248344987e-10,4.3404554975486114e-10,6.261698316047203e-10,8.681863481214215e-10,1.242396037814723e-09
43,2.3280223389895808e-12,8.690417871291138e-11,3.5732087355135206e-10,7.226161312880173e-10,1.1569907146639866e-09,1.6675721364102964e-09,2.313460284710131e-09,3.3103990831159113e-09
44,-7.874273982281418e-12,2.6243559368029185e-10,9.33722404282127e-10,1.8820110498854637e-09,3.0147135218272186e-09,4.338879518398774e-09,6.000986516665863e-09,8.542747069710244e-09
45,3.877037276470212e-12,6.776653754814924e-10,2.3812077756612374e-09,4.7889831172790266e-09,7.628462741743733e-09,1.0910583265198315e-08,1.4990587696775406e-08,2.1170673897232954e-08
46,5.6132738642968584e-11,1.6919975890557276e-09,5.9232571914461e-09,1.1781329528804805e-08,1.8583586022997848e-08,2.636092511241573e-08,3.594469083107441e-08,5.033939580167241e-08
47,1.778035067421315e-10,4.1399937540861836e-09,1.423586267808224e-08,2.7887146285279516e-08,4.351771583558573e-08,6.121663216021884e-08,8.285565271365413e-08,1.1510680356693184e-07
48,4.4437747753122953e-10,9.836194277619266e-09,3.295676192362448e-08,6.355350246943808e-08,9.81454419648056e-08,1.3696503189565535e-07,1.840750754453272e-07,2.5376905775187186e-07
49,1.0493340766203664e-09,2.2571745733374758e-08,7.357756932169398e-08,1.3976278842101712e-07,2.136981949940053e-07,2.959536760895629e-07,3.9505448977282525e-07,5.405989721537412e-07
50,2.4348186872832637e-09,5.001898337702587e-08,1.5876589598978563e-07,2.9726031935173276e-07,4.5017202810861415e-07,6.188489744809354e-07,8.206246942189254e-07,1.1148472024255672e-06
51,5.53652644925328e-09,1.0723277514387855e-07,3.3180574818345313e-07,6.126256518097312e-07,9.191265144467236e-07,1.2544069790895812e-06,1.6526751318052782e-06,2.2293465931825122e-06
52,1.2248207494687348e-08,2.2285697938385042e-07,6.727959475886838e-07,1.2253742547752814e-06,1.8216858869511976e-06,2.4686458039186028e-06,3.2318805678388106e-06,4.329417146915806e-06
53,2.6287434936461176e-08,4.49771478256728e-07,1.3255987340715554e-06,2.3822815772680872e-06,3.5099705486162696e-06,4.723616225514347e-06,6.145773754018349e-06,8.17709832342459e-06
54,5.475860458106038e-08,8.828156053899205e-07,2.541372760845991e-06,4.507772189429402e-06,6.583524813710089e-06,8.799925098392516e-06,1.1380044282106593e-05,1.504107365487121e-05
55,1.108818323538252e-07,1.6874649410870031e-06,4.746933521519476e-06,8.312579183900971e-06,1.2036449646407698e-05,1.59819927264606e-05,2.0545437049961404e-05,2.6978927739197532e-05
56,2.1861273513867477e-07,3.1449835794422272e-06,8.649211622353667e-06,1.4956969210240775e-05,2.147586849294208e-05,2.8330641422848017e-05,3.620889111084597e-05,4.724536823093274e-05
57,4.2024792378352687e-07,5.721673129756331e-06,1.539073170167483e-05,2.628958507904139e-05,3.743791748838927e-05,4.9073810342623606e-05,6.236431107140673e-05,8.086735620194084e-05
58,7.886264616432432e-07,1.017242059709032e-05,2.6775252447358577e-05,4.5188218782116374e-05,6.383339445677349e-05,8.315261230299774e-05,0.00010508513792185998,0.00013543412866223143
59,1.4462306963188636e-06,1.769179654822165e-05,4.558734379285125e-05,7.603430736583267e-05,0.00010656111904935032,0.00013796607196832263,0.00017340705094524923,0.00022215609682807458
60,2.5943906975180014e-06,3.0129408240086558e-05,7.603448247610755e-05,0.00012535823136756676,0.00017433239908512058,0.00022436304548655546,0.0002804939083578287,0.00035725065427649944
61,4.5569302037745065e-06,5.028993589608462e-05,0.00012434486520874964,0.00020269705555882786,0.00027975409715101586,0.0003579332379653069,0.00044514254017182246,0.0005637140468056666
62,7.843972685114596e-06,8.234206624505109e-05,0.0001995581137162288,0.0003217095562281444,0.0004407198968823664,0.000560650072057761,0.0006936813391324048,0.0008735356768772193
63,1.3243253120344488e-05,0.00013236409979887418,0.0003145488429294627,0.0005015945448367316,0.0006821587136411827,0.0008629155999830072,0.0010623129108661257,0.0013304036994338446
64,2.1948129875017988e-05,0.00020905699328716392,0.0004873241035928394,0.0007688569479671732,0.0010381850671359566,0.0013060509867522416,0.0015999416694357118,0.0019929379142915077
65,3.573351004696791e-05,0.0003246575978688676,0.0007426344192877035,0.0011594612321164336,0.0015546880628644305,0.0019452648167720325,0.0023715127888718607,0.0029384675180553358
66,5.7193006187548676e-05,0.000496085435872486,0.0011139339997868908,0.001721403112981927,0.0022923830658970854,0.0028531153753342123,0.0034618692930460785,0.0042673474234932365
