S,p02,p03,p04,p05,p06,p07,p08,p09
94,0.09930260981886999,0.638469592355187,0.2716977526449671,-0.4755866609973347,-1.2606660029191419,-2.0276829048273104,-2.8245099649736427,-3.8129630476971377
95,0.12886779046649863,0.8259251213465574,0.47980861185838997,-0.3005523683493716,-1.1274370399052214,-1.9362899767342623,-2.776298306754854,-3.8172275944798884
96,0.16581207348039892,1.0504677510034615,0.7331297527086389,-0.07860565561250699,-0.9469203593349684,-1.7975293355649735,-2.680699235140094,-3.7740594679898543
97,0.2116023770484812,1.3165138886618966,1.0360329799413648,0.1943321706310952,-0.7152703444643249,-1.6077355145576178,-2.5342018356854012,-3.6801104785458394
98,0.2679122980428522,1.628566782881874,1.3927104521335831,0.5220126340158671,-0.42905806471176255,-1.3637224454554175,-2.333825637766318,-3.5326139618859997
99,0.3366349102007915,1.991156110787884,1.8070966591452242,0.9077844519047029,-0.08534113227423035,-1.0628471076306267,-2.077177770650107,-3.32943400059309
100,0.4198935626522711,2.4087732740379506,2.2827934258938587,1.3545256318075571,0.318277054365268,-0.7030606179774468,-1.7624960691789315,-3.069099235375261
101,0.5200501969354229,2.8858038121504226,2.8229998887499774,1.8645850156553845,0.7836000486727057,-0.2829457368208166,-1.388677448462028,-2.7508209889273605
102,0.6397107166543361,3.4264584524166697,3.4304492194023872,2.4397346502150308,1.3118040216647087,0.1982597645066475,-0.9552913643982253,-2.374495935961063
103,0.7817269753462777,4.034704375779641,4.107353644067113,3.0811339927871773,1.9034168681008934,0.7406539686807267,-0.46257864607381904,-1.940694016418032
104,0.9491949948001166,4.714198286517323,4.8553590345552955,3.789306576196738,2.5583108422991163,1.3436755718894577,0.08856358929283381,-1.4506326907840261
105,1.1454490872730636,5.468222831305503,5.675510044819365,4.564129371825132,3.275708412543654,2.0061218096561806,0.6966098606258964,-0.9061389668352238
106,1.3740516294875729,6.299627823097597,6.5682264450184435,5.404834718598872,4.054200660288343,2.726178484181574,1.3594457067364285,-0.3096008804289063
107,1.638778322117454,7.210777592053019,7.533290977836016,6.310024342082032,4.891777235460948,3.5014607532054765,2.0744169192069783,0.33608971272278687
108,1.9435988634026562,8.203505615555784,8.5698487407182,7.277694681566871,5.785866619437652,4.32906313085617,2.8383868562284587,1.0276010801012259
109,2.292653066889287,9.279077379533284,9.676417793972702,8.305272482191706,6.733385247167734,5.205617008558594,3.6477999820726748,1.761230311298645
110,2.690222558141653,10.438162201774736,10.850910417336168,9.38965939905625,7.730793901056288,6.127353927137369,4.4987497565359025,2.5329748343143166
111,3.140698290516146,11.680814513089842,12.090664194409362,10.52728420383895,8.774159710505014,7.090172815715601,5.387049038509417,3.3386049076393753
112,3.648544222587635,13.00646485224024,13.392481900680497,11.714161082095353,9.85922206928267,8.089709453257132,6.308301259646232,4.173735390119759
113,4.218257596525682,14.413920593533168,14.752679010239422,12.945952459582122,10.981460813063748,9.121406496812767,7.257970759309007,5.033895270025912
114,4.85432634476389,15.901376199056472,16.167137520583275,14.218034795294177,12.136165075172567,10.180582548961148,8.231450840557208,5.914593640068944
