S,p02,p03,p04,p05,p06,p07,p08,p09
26,-9.111497715156413e-17,-2.2799985635894854e-15,3.020165541616586e-16,7.749585324807628e-17,-1.2298155740680298e-15,2.0765435403791755e-14,8.888573833532868e-15,-6.8540115311256746e-15
27,2.011369293809705e-16,4.2425898357081587e-16,9.489762370705536e-16,-1.434554251773819e-15,-3.9525480803438284e-15,3.151192924718116e-15,-6.777610281162544e-15,3.645624489015458e-15
28,-5.547462895976144e-16,-1.0649161791923994e-14,-1.922576759171507e-15,-6.801711362526031e-15,-2.553443337138219e-15,-4.101149984827698e-15,6.852637007619696e-15,6.31823294314257e-15
29,-2.0772821062558655e-15,3.4958094413318244e-15,-5.1741334133930845e-15,-9.5329394822618e-15,-1.4497724527195608e-14,1.516467542871636e-15,-7.059842053700139e-15,4.728886018357709e-16
30,4.452978274872038e-16,-1.2171815260760856e-14,2.0463128781980814e-14,-4.721623723344334e-15,-1.844743866152662e-14,1.850087441791881e-14,1.5120770652790937e-15,1.6118367631215326e-14
31,2.8376481375147618e-15,1.9818019625168548e-14,1.7126507625045977e-14,-2.1009313141423014e-14,-2.8013607820768542e-14,1.017334787595517e-15,1.5892444619554894e-14,-6.694979946332517e-16
32,-1.478894253715239e-15,5.545217490068311e-15,9.898126439757156e-15,2.3209892123181585e-15,1.4914278772269885e-14,3.332042994469822e-14,2.315378689921783e-14,2.9436482306338375e-14
33,1.2195399969863796e-14,1.5223197502436638e-15,3.2922648259567603e-16,1.9420531621365272e-14,2.2881740877550535e-14,1.2626546062795812e-14,5.880187424739095e-14,7.267844934224197e-14
34,-6.124926563615808e-16,1.490115360167561e-14,1.0588214109806032e-14,1.0060488550653389e-14,2.050591472462518e-14,6.644462847565045e-14,1.570788751669821e-13,3.430068786122262e-13
35,7.163054168542152e-15,-5.3271817555051806e-15,2.7437575019183468e-14,7.44352732105453e-14,2.3795692227202924e-13,4.3000725407352755e-13,8.19133842539458e-13,1.4428272768047474e-12
36,5.600095966835015e-15,4.1090912724489576e-15,3.8449071657343744e-14,3.558744511940269e-13,9.852458134113122e-13,1.901810538140045e-12,3.4665267669530044e-12,6.156916947250614e-12
37,-1.2785052829894095e-14,1.0476567960748756e-14,3.3308890433261283e-13,1.5049657961085825e-12,3.7829521451546815e-12,7.471709512377256e-12,1.2937817109155478e-11,2.3232240461623823e-11
38,-1.3297251713021883e-14,7.157562288667267e-14,1.242044522365176e-12,5.551701811219067e-12,1.3941394609134537e-11,2.7004951043871452e-11,4.686202484087074e-11,8.240723203656925e-11
39,1.2084736487315618e-14,2.242459896050382e-13,4.551979589766064e-12,1.9572775184379763e-11,4.8120485454439167e-11,9.184200373915694e-11,1.5725121330963236e-10,2.7289665569328974e-10
40,-1.3482355505693056e-14,8.327210939913162e-13,1.5363047989679886e-11,6.518367292836052e-11,1.570490786800388e-10,2.9479612420151393e-10,4.980699627157472e-10,8.52854075583068e-10
41,8.489655004461282e-15,2.812396308250655e-12,5.010097733089976e-11,2.0471070535103645e-10,4.835624547957616e-10,8.943468660158353e-10,1.492526110249563e-09,2.5232378929990467e-09
42,-4.2851730209234216e-14,9.224980545068324e-12,1.5409497998668765e-10,6.1011625386186e-10,1.4129709178393944e-09,2.5758155620040597e-09,4.246542470133419e-09,7.088356560170619e-09
43,-2.3631536064847314e-14,2.872430455264776e-11,4.5063321563912847e-10,1.7295455813106805e-09,3.928321966519199e-09,7.0617398654028975e-09,1.1503277657129555e-08,1.8967260367759313e-08
44,4.208622757049117e-14,8.466807601295896e-11,1.2561333071001223e-09,4.676006277825836e-09,1.0422261776164177e-08,1.848064391714241e-08,2.97581421837718e-08,4.848078291621985e-08
45,7.945305939824149e-14,2.396112982551489e-10,3.3463001806860788e-09,1.2092873076114578e-08,2.6459691114171744e-08,4.629141968618832e-08,7.370247878815491e-08,1.1867399848539382e-07
46,2.0998472729163326e-13,6.473811321739227e-10,8.540443019922006e-09,2.998522153309657e-08,6.443264255161699e-08,1.112567521657988e-07,1.7519089699326087e-07,2.7887609035173946e-07
47,6.166274778618552e-13,1.6774558887568923e-09,2.0934200091381476e-08,7.144717401650306e-08,1.508395845741215e-07,2.571395855144314e-07,4.005587713333508e-07,6.305298401046541e-07
48,1.734060891844674e-12,4.178421388262054e-09,4.938394284595652e-08,1.6394571107727674e-07,3.40195609761318e-07,5.727127105918763e-07,8.827761944548393e-07,1.3744770803966145e-06
49,4.855057488669459e-12,1.002449017404405e-08,1.1234233702014359e-07,3.629964613225716e-07,7.406140452877505e-07,1.231614809980176e-06,1.8789054468675961e-06,2.8942996067581534e-06
50,1.2819190604244325e-11,2.321025950107059e-08,2.4690766738190025e-07,7.769439147320151e-07,1.5591855227822534e-06,2.561939802911726e-06,3.8691174519659486e-06,5.8979610302555215e-06
51,3.3231759071544427e-11,5.1952404344355e-08,5.251895850681663e-07,1.6102982308851355e-06,3.1796819640150925e-06,5.163603080273281e-06,7.721495212087404e-06,1.165035734373322e-05
52,8.276460657355037e-11,1.126084403302727e-07,1.0828997374476773e-06,3.2370269048688655e-06,6.2912708354533045e-06,1.0099769602806694e-05,1.4957359498892106e-05,2.2342589931284765e-05
53,2.0040742487060606e-10,2.367264028726158e-07,2.167751321312492e-06,6.3206078030473175e-06,1.209500430723488e-05,1.919929142524001e-05,2.8165000788413275e-05,4.165994598433849e-05
