S,p02,p03,p04,p05,p06,p07,p08,p09
46,-1.3066655941219242e-11,4.992525390539071e-11,8.306159755860071e-10,2.9295840996227918e-09,6.410310894175735e-09,1.1242914366455187e-08,1.7943921401831093e-08,2.8963815387194266e-08
47,-2.6600926664853442e-12,1.6355933799582216e-10,2.034221763555976e-09,7.128234914664256e-09,1.53805198412966e-08,2.6640870707870756e-08,4.2054165475311344e-08,6.71085147373314e-08
48,1.0601034584285687e-11,4.1186267789806185e-10,4.878330185791743e-09,1.675766195457342e-08,3.554121651598135e-08,6.07766763086513e-08,9.491897444644776e-08,1.4982275837403077e-07
49,1.7358537057963034e-11,9.732444964475935e-10,1.1354195060423302e-08,3.799524518292816e-08,7.920575615725825e-08,1.3378899514644487e-07,2.0682743007399857e-07,3.230638042003373e-07
50,1.313838397222319e-11,2.258122072236217e-09,2.554594180539472e-08,8.320809185145479e-08,1.7061893497773545e-07,2.848261510105426e-07,4.3601289167344255e-07,6.741716542524526e-07
51,1.5382667741357643e-12,5.138080222480921e-09,5.557975930172279e-08,1.7638197694009676e-07,3.5599069423807796e-07,5.875440175202867e-07,8.908445760782314e-07,1.3638439181471826e-06
52,-7.546811442313387e-12,1.1380339025881421e-08,1.1714869683830748e-07,3.626044743104179e-07,7.206772336733057e-07,1.176270630139897e-06,1.7668487368835199e-06,2.6788165847076957e-06
53,-2.2921099070620403e-12,2.4458341729107726e-08,2.396697628637483e-07,7.241134659867413e-07,1.417707203202342e-06,2.288846231146373e-06,3.406608350116216e-06,5.11604308814519e-06
54,2.8315798167080506e-11,5.1018090355325e-08,4.7670822063612014e-07,1.4066634899058287e-06,2.713771035951906e-06,4.334733069264106e-06,6.393868629004743e-06,9.513301633830455e-06
55,9.742354413048875e-11,1.0344306332294906e-07,9.23124906526859e-07,2.6616341409638793e-06,5.061294052317353e-06,8.00027548552562e-06,1.1697251500784278e-05,1.7246180524682968e-05
56,2.3175442494101157e-10,2.0420384046277332e-07,1.7425222084185267e-06,4.911470541705259e-06,9.20834711829602e-06,1.4406997508485555e-05,2.088383149869555e-05,3.0517197722025695e-05
