S,p02,p03,p04,p05,p06,p07,p08,p09
49,3.567390769865899e-11,6.353597815080574e-08,6.677753925403224e-07,2.0850882504987543e-06,4.161772171188854e-06,6.809440174934802e-06,1.0245183844679995e-05,1.55534957874954e-05
50,9.399385529272068e-11,1.439955860395402e-07,1.4347415305479599e-06,4.359576384426808e-06,8.554747979976166e-06,1.382518912771841e-05,2.058524039746835e-05,3.091509324089818e-05
51,2.3873529277163935e-10,3.1550006258279726e-07,2.9832993571479813e-06,8.826287360017468e-06,1.703319918160333e-05,2.719549619908228e-05,4.0081852812111014e-05,5.9560941005963864e-05
52,5.854002982755922e-10,6.694025944715021e-07,6.013110516039699e-06,1.7330693791203983e-05,3.290257112556442e-05,5.1912208844096395e-05,7.574817855578197e-05,0.00011139719968098062
53,1.3883955214624892e-09,1.3774752775119145e-06,1.1766153640389757e-05,3.305241192459057e-05,6.175155542871906e-05,9.62996257465715e-05,0.00013914314845759885,0.00020255267809502273
54,3.1895897845192436e-09,2.753065104107439e-06,2.2382819677116207e-05,6.13117300442843e-05,0.00011275848812248326,0.0001738430801203578,0.00024877614691988086,0.00035854323735454516
55,7.108454287113616e-09,5.351480115906056e-06,4.1448951602940544e-05,0.00011076513396658984,0.00020058339114170927,0.0003057916069332354,0.0004334785608841079,0.0006186379638451288
56,1.5389411488829892e-08,1.0129976221435287e-05,7.481159040637868e-05,0.00019512483369333523,0.000348025787341081,0.0005247496028449183,0.000736985209523678,0.0010416948070475854
57,3.240641975022534e-08,1.8695576317282467e-05,0.0001317608012371084,0.0003355602804261352,0.0005896480938754756,0.0008794846337020482,0.0012239698940032034,0.001713717204239549
58,6.645485569912988e-08,3.367853250082934e-05,0.00022669439996538503,0.0005639567769559732,0.0009765715461280307,0.0014411715961515695,0.001987754499919932,0.0027573328207090085
59,1.3286283515697966e-07,5.9280341986771524e-05,0.00038139928101680904,0.0009272129487461608,0.0015826402391146193,0.0023112605640385245,0.0031598532618984077,0.004343304352866255
60,2.592543046930655e-07,0.0001020573650681875,0.000628094322946319,0.0014927501128341434,0.00251211323720365,0.003631091069392729,0.004921417870225065,0.006704046909495801
61,4.942350613824376e-07,0.00017201345295736605,0.001013382004931382,0.00235537758367628,0.003908980087717964,0.005593275715314835,0.007516513290498376,0.010148947946259545
62,9.213841785507687e-07,0.0002840863451602962,0.0016032451612700874,0.0036456047750654725,0.005967898879105242,0.00845474037163875,0.011266980830957262,0.015081070692774347
63,1.6812789728487027e-06,0.00046012140509677993,0.0024891983129419646,0.005539411150236865,0.00894662847455074,0.012551140483881658,0.016588441727805915,0.02201458297531667
64,3.005395236867744e-06,0.0007314306138396471,0.0037956569514931105,0.008269378634890136,0.013179671592752212,0.01831218121015217,0.02400677376996241,0.03159200843010166
65,5.267172817354347e-06,0.0011420326436059345,0.005688521617664836,0.012136960789763769,0.019092670841298485,0.026277165944050714,0.03417417271924395,0.04460016875006134
66,9.057340454971533e-06,0.001752659192145462,0.008384886857819664,0.01752551484042453,0.027216917158411978,0.03710989959680938,0.047883710092878895,0.06198349885375457
67,1.5292794664986506e-05,0.0026455918312043095,0.012163680558205044,0.024913565737186585,0.03820315426666205,0.051611899019254025,0.06608114178628319,0.08485329667353661
68,2.53709016625838e-05,0.003930361045718954,0.017376921521005274,0.03488761750134383,0.05283371046860361,0.07073273310436584,0.0898726297792092,0.1144914379246683
69,4.13840184268815e-05,0.005750294418784062,0.02446115931301041,0.04815369012328534,0.0720318780370109,0.09557624851153339,0.12052703076580705,0.15234716057258013
70,6.641220617732119e-05,0.008289844422187963,0.033948539357758115,0.06554665452429033,0.09686740679405464,0.1274014493204533,0.159471494362972,0.20002571263441798
71,0.00010491539682890728,0.011782559617547293,0.046476828131365285,0.08803637770774062,0.1285569958142706,0.167616900977963,0.20827930601123243,0.2592679600976408
72,0.00016324948502586184,0.016519488991173503,0.06279764892539375,0.11672968704851908,0.16845876436371102,0.2177677247193477,0.26864920364539496,0.3319204582893746
73,0.00025033366109004126,0.022857731633695727,0.08378212841279181,0.15286722524471447,0.2180598632140797,0.2795145343867031,0.3423757812808306,0.41989597948750496
74,0.0003784984846238286,0.031228767953904574,0.11042314708458248,0.19781439991402652,0.27895664687017235,0.35460403186915457,0.43131104748961313,0.5251250329401519
75,0.0005645453424506679,0.04214613972645833,0.14383342920115672,0.25304583297396793,0.35282715565070066,0.44483140134693455,0.5373177052988078,0.6494994752249613
76,0.0008310476588193273,0.056211990599375115,0.185238803691529,0.3201229780168922,0.44139603726883053,0.5519951011162538,0.6622152303143932,0.7948098505715373
77,0.0012079221212245627,0.07412194195175609,0.23596611619749497,0.4006648869363076,0.5463924488607191,0.6778451161201793,0.8077203114634224,0.9626785834549595
78,0.0017342939222564342,0.09666776651318966,0.29742546987487556,0.4963124534730981,0.6695018969759409,0.8240261733654525,0.9753836493267554,1.15449153383608
79,0.0024606732617532597,0.1247373380195869,0.37108671071215193,0.6086868209491738,0.8123133677436639,0.9920178059434626,1.166525449628683,1.3713306896778743
80,0.0034514509402517103,0.15931138188309163,0.45845034021805425,0.7393429924145573,0.9762634460599995,1.1830734524182622,1.3821721783807694,1.6139108903598376
81,0.004787708706121803,0.20145663021063456,0.5610133202932007,0.8897200011388079,1.1625793970778535,1.398160974470375,1.6229972427833639,1.8825234382187361
82,0.006570325235608884,0.2523150930431976,0.680230515692562,1.0610892672732741,1.3722233664469063,1.637907052538523,1.889268219693041,2.176989262916429
83,0.008923341474404886,0.31308929307499733,0.8174727823688499,1.2545029641418404,1.6058399335901197,1.9025478690713749,2.1808030708048154,2.496623965588529
84,0.011997530036739678,0.3850234679084012,0.9739829386964244,1.4707443316165636,1.8637092185749826,2.1918883135138567,2.4969374721794946,2.840216606515844
85,0.015974093162207204,0.46938091502177204,1.1508310372950608,1.7102818956808707,2.1457075977951434,2.5052716514081808,2.836504961122588,3.2060235390027336
86,0.021068393107123305,0.5674178318403056,1.3488704757554093,1.9732294798684158,2.4512778344101815,2.841561208654364,3.197831092961456,3.591777966259757
87,0.02753359896884408,0.6803541774528729,1.5686965372579964,2.2593137286547327,2.7794100897293728,3.1991351532068,3.5787422304983663,3.9947152428837507
88,0.035664115670753276,0.8093422443928439,1.8106089326230812,2.5678506140219826,3.1286348705653055,3.575894936149737,3.976588994265562,4.411613295000061
89,0.045798645556991646,0.955433769738237,2.07457982354442,2.897732076817261,3.4970285069219065,3.9692874117197574,4.388283812175597,4.83884692617953
90,0.05832272167190363,1.119546526648224,2.3602286473467515,3.2474235820470487,3.8822312698366668,4.376340118378841,4.810351454893613,5.272454240696778
91,0.07367054551902151,1.3024314139743753,2.6668048438960312,3.6149729605755576,4.281477754489171,4.793708698756505,5.238990951862421,5.708212974884219
92,0.09232596167174298,1.5046410981606195,2.993179316593264,3.9980304900155694,4.691638693871125,5.217734988682832,5.670146879679372,6.141724199605347
93,0.1148224078532413,1.7265012558982662,3.3378451551666077,4.393879755193453,5.109272953775501,5.644513932990813,6.099587706276388,6.568500650534492
94,0.1417416922380038,1.9680854173872997,3.6989278228843903,4.799478442989447,5.530688109622872,6.0699672037134444,6.522988681112452,6.984056862348043
95,0.17371147003952814,2.229194320816086,4.074204680194482,5.211507883730038,5.952007731186981,6.4899212126012795,6.93601667645094,7.38399832290737
96,0.21140131856215402,2.509340562298623,4.461133396339023,5.626429866811833,6.369243313726347,6.900187127130142,7.334414410367085,7.7641070145850755
97,0.25551734329430986,2.8077391679559582,4.856888502678958,6.040549039895149,6.778368694648762,7.296640514899977,7.714081608416468,8.120420956243546
98,0.30679528643834036,3.1233045330247844,5.258405080404982,6.450079057281899,7.175394784483258,7.675298349705262,8.071150876098887,8.449305684155028
99,0.36599215223073744,3.454653974436228,5.662428358523819,6.851210573992628,7.556442513350081,8.032391299443997,8.402056338199237,8.747515992293398
