S,p01,p02,p03,p04,p05,p06,p07,p08,p09
29,7.816403664490593e-16,-3.0091850813037863e-15,1.0536771821514338e-15,3.837765680545212e-15,7.451129049330432e-16,-6.964463057129468e-16,2.867732023127684e-15,5.120415915251296e-15,3.761766643708695e-15
30,-4.114407842248651e-15,4.143830755662593e-15,1.3235981973266704e-14,1.8396949788399052e-14,2.6247391878944856e-14,2.5867106978710353e-14,3.594108135991643e-14,3.805744908455831e-14,5.041878863898534e-14
31,-3.3361234908442323e-15,2.7844059510553797e-14,7.905406460729106e-14,1.2111108970282615e-13,1.540385885729584e-13,1.8769835165927855e-13,2.1573951141667655e-13,2.474306293533025e-13,3.0068967035399683e-13
32,-1.3234137374544161e-15,1.7329480539864575e-13,4.3964299349743576e-13,6.585103404432211e-13,8.337574814909897e-13,9.87229192839072e-13,1.1478877833222956e-12,1.3235975881638962e-12,1.5843370795240958e-12
33,7.516103522636367e-15,8.933358823358222e-13,2.1713458679844705e-12,3.200383387184117e-12,4.030951053882307e-12,4.762196983827347e-12,5.485923868700153e-12,6.313710286472618e-12,7.508029754108054e-12
34,4.344605217894299e-14,4.094748277547439e-12,9.754729482267372e-12,1.4219646514673442e-11,1.779238984530587e-11,2.090984732851787e-11,2.4004915577085428e-11,2.7511364959711496e-11,3.2576958789122634e-11
35,2.286860286722793e-13,1.7299189024606728e-11,4.0312583919996726e-11,5.816875723606667e-11,7.233159727388045e-11,8.46852267115954e-11,9.680057666488787e-11,1.1056623259200245e-10,1.302766417882622e-10
36,1.0216346459496984e-12,6.770255897239908e-11,1.5431562541872443e-10,2.2053395203150785e-10,2.726915975699746e-10,3.179535508028328e-10,3.6211870964531703e-10,4.12150700774216e-10,4.834634497702348e-10
37,4.145176709569994e-12,2.467143390461015e-10,5.504537121295632e-10,7.793387627723236e-10,9.582600474520814e-10,1.112763051448366e-09,1.2629976996875575e-09,1.432570537772785e-09,1.6731505932868335e-09
38,1.5633428978705893e-11,8.409960429359262e-10,1.8380777221474042e-09,2.5788744133946216e-09,3.153779146534038e-09,3.6477921562653908e-09,4.126425374898307e-09,4.66456679438312e-09,5.425133693219929e-09
39,5.52018879212303e-11,2.693802242102553e-09,5.770369706228114e-09,8.024813105062156e-09,9.761975614857162e-09,1.124774923352451e-08,1.2681986128404794e-08,1.428887374719085e-08,1.6550880953178625e-08
40,1.8346276401641884e-10,8.13960183282796e-09,1.7097477924878846e-08,2.3573634244096366e-08,2.8529398784734023e-08,3.274852298351602e-08,3.680640851162428e-08,4.133746158833095e-08,4.769078127771459e-08
41,5.757369150433876e-10,2.3284597135682105e-08,4.7984201671867125e-08,6.560669981234594e-08,7.900073017801421e-08,9.03527454763265e-08,1.0123233564533201e-07,1.1333969487516844e-07,1.3025183065406175e-07
42,1.7123079827348576e-09,6.326877602311917e-08,1.2797392704484333e-07,1.7354580758541038e-07,2.0795353329273478e-07,2.369879172437836e-07,2.647170148825378e-07,2.9547455501968456e-07,3.3827776714439136e-07
43,4.841561908959173e-09,1.637884030224942e-07,3.2531759286788404e-07,4.3764963531903253e-07,5.219128459015542e-07,5.927118731601446e-07,6.600975964439839e-07,7.346028066959099e-07,8.379076481110851e-07
44,1.3052493410020253e-08,4.051000890354908e-07,7.904248543236976e-07,1.0550806214719587e-06,1.2523445541233927e-06,1.4173916556564085e-06,1.573955847012943e-06,1.7465167742496032e-06,1.984921226416498e-06
45,3.36405558152508e-08,9.597249463568823e-07,1.8403160399684441e-06,2.437808432157384e-06,2.8803812000338076e-06,3.2491470647966527e-06,3.5978107173191577e-06,3.980910887065781e-06,4.508323777069412e-06
46,8.309415914767484e-08,2.1830958446463336e-06,4.1155853440318665e-06,5.411199288713908e-06,6.365016778881678e-06,7.156552190178092e-06,7.902525394442054e-06,8.719686402661556e-06,9.840773838979687e-06
47,1.9715584950287158e-07,4.778598668071208e-06,8.859948507188542e-06,1.156424899385966e-05,1.3543178798410331e-05,1.5178886980371964e-05,1.6715554508976247e-05,1.8393836826704196e-05,2.0688480750697453e-05
48,4.5030267165860804e-07,1.0086051566127944e-05,1.8398213620673643e-05,2.3842555912064733e-05,2.7803080747664148e-05,3.10639106074562e-05,3.411774899686188e-05,3.744321698503506e-05,4.197474782124435e-05
49,9.920048404852084e-07,2.05666266464994e-05,3.692215791003402e-05,4.751371489271466e-05,5.5173959572564835e-05,6.14566538386748e-05,6.732247867222884e-05,7.369156109914014e-05,8.234190024788545e-05
50,2.1117242640777055e-06,4.058796613497147e-05,7.173492592940101e-05,9.168083942154538e-05,0.00010602428852130465,0.00011774384238730809,0.0001286527074457132,0.00014046370843802427,0.0001564529519978372
51,4.351313927931218e-06,7.765021087375274e-05,0.00013515111399713185,0.00017157040922353273,0.0001976131763839727,0.0002188125760416556,0.00023848673628082496,0.0002597279755327699,0.00028839123369978255
52,8.692798422345178e-06,0.00014423478765718693,0.0002472974761800325,0.0003118701384024908,0.00035778963715201335,0.00039503187459329894,0.0004294930566160522,0.0004665958269655928,0.0005165043644512435
53,1.686186661882549e-05,0.0002604992315645142,0.0004401015644902224,0.0005514329676281843,0.00063017268109266,0.0006938018722778658,0.0007525087495481644,0.0008155424209454752,0.0009000666050495277
54,3.1802976233157414e-05,0.00045807716251512125,0.0007627836692599007,0.0009496842091362683,0.0010811604272211955,0.0011870258242035075,0.0012844215746178693,0.0013887121215138917,0.0015281269932970255
55,5.840054204484171e-05,0.0007852650409694776,0.001289170550597991,0.0015950584383497546,0.0018090961150595444,0.0019808316535494712,0.0021383799196004307,0.002306628986320535,0.002530855695029595
56,0.0001045414782869357,0.0013138774039271677,0.0021271163947893705,0.002615739062715352,0.0029558508541198685,0.003227790293912358,0.003476564890148579,0.00374153135828962,0.004093585700393584
57,0.00018263589336952514,0.00214802052736531,0.003430237057240021,0.004192866671822717,0.004720957653230447,0.005141738377638068,0.005525606279632196,0.005933383758104571,0.006473563877248554
58,0.0003117327172167116,0.003434962343744875,0.005412030694754676,0.006576216401425234,0.007378243947930483,0.0080151091591535,0.008594506103638822,0.00920838660936038,0.010019174223165136
59,0.0005203823857870614,0.005378158195551657,0.008362269038528474,0.010102119912452422,0.011294662679041107,0.012238411639104827,0.013094655098282322,0.013999511603835467,0.01519108577452161
60,0.0008504056991802206,0.008252325769170687,0.012665303124854239,0.015213132223020325,0.016950725602195682,0.01832118635733621,0.01956120345649305,0.020868254215139555,0.022584426914234405
61,0.0013617225290972713,0.012420252222012393,0.018819647092687047,0.022478633940777298,0.02496161632092528,0.02691342900620311,0.028674701017399093,0.03052644090467617,0.032950725469865945
62,0.0021383721200723986,0.018350772127573994,0.027457903414298494,0.03261524005881717,0.03609773229515259,0.0388261398970996,0.041281586078046766,0.04385659089878356,0.04721801628572832
63,0.0032958149345292025,0.026637092946077193,0.03936579888448306,0.04650558827498739,0.05130310845785418,0.05504936404412052,0.05841181330734635,0.061929049963913275,0.06650724578141816
64,0.004989542015414514,0.03801438745770942,0.05549884404919833,0.06521383764955362,0.07170994682083363,0.07676587139065962,0.08129170899570051,0.08601392633133478,0.09214293692661346
65,0.007424931304523532,0.053375345949403706,0.07699494204674262,0.08999605685217678,0.09864735213847754,0.10535852518045626,0.11135006202626745,0.11758580267834817,0.12565605400412933
66,0.010868182939812093,0.07378221257392774,0.10518118688990219,0.12230365115757733,0.1336423833404139,0.1424094282873392,0.1502155301275586,0.15831930051142876,0.16877714995630622
67,0.01565804166164461,0.1004737462688204,0.1415731309301147,0.16377809107562777,0.17841169458901115,0.18968914077966378,0.1997036797573605,0.21007384877301005,0.22341820203043877
68,0.02221788088133602,0.13486556858033696,0.18786498239289906,0.21623547431101445,0.23484236588477805,0.249134631939308,0.26179238640264973,0.27486645630153683,0.2916420386306698
69,0.03106758899682144,0.17854250286431644,0.24590952029271937,0.2816398735982009,0.3049610038054554,0.3228151551017827,0.338584885602438,0.3548318896860747,0.3756189096544744
70,0.042834575067281395,0.23324177631400822,0.31768697641034943,0.3620649787292561,0.3908908054045361,0.412885887325614,0.4322604532475821,0.4521703801306162,0.47757051483254126
71,0.058263109897482845,0.30082634176451656,0.40526270953682164,0.4596442001430362,0.4947969857480375,0.5215299171154597,0.5450134623592381,0.5690837772791973,0.5997026279787321
72,0.0782211517603602,0.38324806272466494,0.5107341511028859,0.5765101210667561,0.6188217241577878,0.6508899406836022,0.6789823578778539,0.707701876946909,0.7441282785111691
73,0.10370378387736505,0.4825010652122208,0.636168190000716,0.7147249144100198,0.7650105310105099,0.8029917830458533,0.8361708515422506,0.8700014119104871,0.912784211049289
74,0.13583242165569887,0.6005661577587751,0.7835308383308259,0.8762040251803632,0.9352326191302412,0.979662536061271,1.01836430587407,1.0577208495033545,1.1073439783373245
