S,p01,p02,p03,p04,p05,p06,p07,p08,p09
48,6.157274519236287e-07,3.1530562523420133e-06,4.627644248180057e-06,5.545318333147854e-06,6.2142983736815285e-06,6.7720148074184865e-06,7.299817137085496e-06,7.87630197260184e-06,8.657361447825719e-06
49,1.3220461409583243e-06,6.505863561849286e-06,9.45656522021201e-06,1.127973742312798e-05,1.2603685286710719e-05,1.3704461971675068e-05,1.4743824656973773e-05,1.5876478901122926e-05,1.74069334849777e-05
50,2.745850561487528e-06,1.2996395830720225e-05,1.87129614458894e-05,2.2220327371740858e-05,2.475764025729624e-05,2.6861674307648505e-05,2.8843873847297912e-05,3.099915587454437e-05,3.390364406853671e-05
51,5.526009697772823e-06,2.517704202591892e-05,3.591725085752562e-05,4.2461471889524044e-05,4.717810327215764e-05,5.107914715221783e-05,5.4746199887285706e-05,5.872465582715237e-05,6.407198144209599e-05
52,1.0792834248429272e-05,4.737200974365274e-05,6.697048135540266e-05,7.883147298347367e-05,8.734883576349199e-05,9.437541283580684e-05,0.00010096619087577947,0.0001081010617740511,0.00011766593029263169
53,2.0487471252105835e-05,8.669659125337758e-05,0.00012148102173302579,0.0001423927015433549,0.00015735545217652097,0.00016966828837602457,0.0001811927653538742,0.00019364176485318368,0.00021028780377937726
54,3.785030556493003e-05,0.00015453721634830277,0.00021466590766398648,0.00025057801701475104,0.0002761832399476654,0.00029720169519853457,0.0003168329052265342,0.00033799383404832175,0.00036621705751771445
55,6.814596212372854e-05,0.00026863701530125783,0.0003699948134713691,0.00043014253971056547,0.00047287891409491053,0.0005078744245869246,0.0005404921504953972,0.0005755774952391024,0.0006222546262694864
56,0.00011970921837503746,0.00045595004099596796,0.0006227598455252673,0.0007211230046503787,0.0007907738317375908,0.0008476721223481752,0.000900595450493459,0.0009574038645576254,0.0010327928040782322
57,0.00020541252399626105,0.0007564373022296425,0.001024758022184866,0.0011819962270225351,0.001292962441309226,0.0013833975341518473,0.0014673439446897909,0.0015572666889487146,0.00167630599076673
58,0.00034467024771252366,0.0012279753230752533,0.0016502601172399347,0.0018962089254630132,0.002069205981284814,0.002209866590031375,0.0023401727002530593,0.002479469702720404,0.002663418472397113
59,0.0005661046011797629,0.0019525286074919231,0.002603405681721074,0.0029802087325210423,0.00324438339022637,0.00345868526510488,0.0036568172780224862,0.003868189613439503,0.004146638311197529
60,0.0009110009770084913,0.003043697947938692,0.00402710603383794,0.004593038430394502,0.0049885366015540306,0.005308642050347875,0.005604012238898678,0.005918484897424235,0.006331749966166904
61,0.0014376731292148226,0.00465569453609975,0.006113454145267047,0.006947461084390055,0.007528455903116608,0.007997643543407838,0.008429732259950494,0.008888842962899435,0.009490734151666128
62,0.002226839006057692,0.006993705248432846,0.009115533228601109,0.010322465873789741,0.011160625666879491,0.011835989898074937,0.012456750790330177,0.013115017505013237,0.013975936839251411
63,0.003388073897987991,0.010325509243209064,0.013360389468255842,0.015076867385869877,0.016265207597150957,0.017220638755342105,0.018097139121249148,0.01902475205749557,0.020235048582605344
64,0.005067358278994238,0.0149940848091128,0.019262794895323967,0.021663564063424328,0.023320586603134404,0.024649951183616094,0.025867170923938792,0.027152825191360457,0.028826292565453656
65,0.007455673219428082,0.021430815430535825,0.027339283996787377,0.03064387447161698,0.032917855469780447,0.03473826261702652,0.036401945964449275,0.038155701451852986,0.04043306831929237
66,0.010798518913573365,0.030168774396840608,0.03822181353510881,0.04270123611172307,0.04577448116166102,0.048229490067462626,0.05046891662970759,0.052824943668535594,0.05587717310890846
67,0.01540614463653965,0.04185544887971848,0.0526702816046505,0.05865344324595608,0.06274629231429671,0.06600888738219138,0.06897940527141044,0.07209845177382282,0.07612963870791065
68,0.021664186645575092,0.05726416824137006,0.07158306191239194,0.0794625312541472,0.08483686610594869,0.08911200573800958,0.09299715251695483,0.09706855212451153,0.10231819093133031
69,0.030044320096242815,0.07730343860364725,0.0960046724557753,0.10624139423487387,0.11320338374164184,0.11872991754445504,0.12374294629680786,0.1289859809856797,0.13573037002147237
70,0.04111444904799852,0.10302336489187434,0.12712971377594473,0.14025625931814167,0.14915807512432683,0.15620982402528294,0.16259445430183428,0.1692588891332586,0.17781144930721635
71,0.05554789239041804,0.135618369748354,0.16630228425601468,0.18292423815680078,0.19416448566213215,0.2030502925579741,0.21108051939285052,0.2194461444372797,0.23015645381901925
72,0.07413097951646311,0.17642549951062123,0.21501020965181136,0.23580533036471338,0.24982797098213602,0.2608905558375979,0.2708693761017955,0.2812444188933505,0.2944958053495428
73,0.0977684545036203,0.22691773841447546,0.27487360710169717,0.3005884639084577,0.31788005069588454,0.33149354269484954,0.34375049426937915,0.3564688067392296,0.37267439484470194
74,0.1274861045404141,0.288691931663726,0.3476275312337684,0.37907140774395826,0.40015651812316805,0.4167225876657021,0.43161004368783,0.44702701664234284,0.4666241905246226
75,0.16443008052681451,0.36345113445176985,0.4350987115764315,0.47313467268217385,0.4985694961524844,0.5185120675758881,0.5364002813659785,0.5548874960875638,0.5783308115875352
76,0.20986246525300786,0.45298144879316043,0.5391766677007026,0.5847098089040159,0.615073928536547,0.6388325196574063,0.6601034731490429,0.682042159534657,0.7097948157452904
77,0.26515276304976687,0.5591236667004673,0.6617797688734939,0.7157427962492523,0.7516292873446794,0.7796510866880934,0.804691254559231,0.8304646850698648,0.8629887406935709
78,0.3317651317127912,0.6837402933598801,0.8048170704710865,0.8681534867507888,0.9101575408565487,0.9428883970472034,0.9720805941082488,1.0020655997866612,1.0398111874976301
79,0.41124134491435366,0.828678763567514,0.9701469876277623,1.0437922840278446,1.0924986405397297,1.1303731974832143,1.1640877272844907,1.198645570665846,1.2420394237377952
80,0.5051796509933371,0.9957318691744542,1.1595340581815883,1.244395414357058,1.3003649515702653,1.3437962109369428,1.3823815732477704,1.421848453542207,1.4712821014950526
81,0.615209875874656,1.1865965799828793,1.3746051725216366,1.4715402572335055,1.5352961410614039,1.58466476714858,1.6284382148928909,1.6731157076871337,1.7289337317788476
82,0.742965291808395,1.4028325518167237,1.6168067136140827,1.7266022347417473,1.7986160601113352,1.854259770850408,1.9034980187071502,1.9536437655898184,2.016132509385926
83,0.8900519285426344,1.6458216625520048,1.8873640521221977,2.0107147386927426,2.0913931098209826,2.153596495563237,2.2085268903071498,2.2643458532145555,2.3337229855480146
84,1.0580161373008323,1.9167299154909665,2.1872447685478136,2.3247334655474017,2.4144054557584393,2.483390568042143,2.5441830150907396,2.605819595336012,2.6822248851754438
85,1.248311312665451,2.216472968663563,2.5171268512758083,2.669206377825528,2.7681122858336233,2.8440303040666577,2.9107902247471613,2.9783215164724814,3.0618091515610675
86,1.4622647450085455,2.545686436583594,2.877372924975363,3.0443502963717335,3.1526320636299228,3.2355563230668234,3.3083188752835997,3.3817492853915883,3.4722820009824846
87,1.7010455871796502,2.9047019286521087,3.2680113603911205,3.4500348775390317,3.567728486286725,3.657649087884795,3.7363748459084962,3.815632260784074,3.913077483308491
88,1.9656349096563994,3.293529587289345,3.6887248351047393,3.8857744588560723,4.012804545505677,4.109624726067462,4.1941969536885,4.2791305791767265,4.3832587154124525
89,2.2567987486676877,3.711847645648802,4.138846669665686,4.350727967661339,4.486904821066062,4.590439183460582,4.680662787215351,4.771042727180763,4.881527652744744
90,2.575064968329821,4.158999287939835,4.617364964920601,4.843706806845205,4.988725819354833,5.098700482164542,5.194302660582739,5.289821242193682,5.406242972583186
91,2.9207046113255415,4.633996825864628,5.1229343343672795,5.363190368046222,5.516633953450699,5.632688579204625,5.733321148126968,5.833595939352953,5.9554453794241615
92,3.293718293595482,5.1355329870328426,5.653894740942355,5.907348577904869,6.06869045278735,6.190382098303359,6.295625392116476,6.400203808132331,6.526889433877691
93,3.6938279953768745,5.661998862072081,6.208296783971611,6.474070683570864,6.642682378976693,6.769491010416572,6.878859239223266,6.9872245835433935,7.118080828094619
94,4.1204744622991285,6.211507891507039,6.783932556952975,7.060999325059213,7.236158689627458,7.367494198806667,7.480442078122706,7.592020828894873,7.726317920586644
95,4.572820223858187,6.781925085452833,7.378371107513714,7.665568813952638,7.846470249428527,7.981680737012552,8.09761119375807,8.21178131298339,8.348736271179824
96,5.049758083697231,7.370900578784755,7.98899741631942,8.285046472633617,8.470812595540167,8.60919369389812,8.7274664126058,8.843566437088946,8.982354895525901
97,5.549924776726555,7.97590649510571,8.613053775730073,8.916575892925493,9.106270271708183,9.247075212437394,9.367015796968303,9.48435445953244,9.624123025009368
98,6.071719345390746,8.59427612003305,9.247682444746275,9.557220918754439,9.749861558283612,9.892311744374993,10.01322123541648,10.131087366671565,10.270966158509864
99,6.613325676441128,9.223244308476097,9.889968490472967,10.204009306269413,10.398582505910525,10.541878308334418,10.663042825687086,10.780715282221465,10.919830379485516
100,7.172738531413535,9.859988134586217,10.536981821873681,10.853975019919915,11.049449306721469,11.19278081405106,11.313481102215304,11.430238507692534,11.567723980077103
101,7.747792377554851,10.501666827078537,11.185817457315393,11.504198299938649,11.699538074116942,11.842095581382493,11.961616236533244,12.076746310052398,12.2117556378587
102,8.3361922326608,11.145460138406447,11.833633269064945,12.15184272407299,12.346021364439961,12.487005364514301,12.604643576707984,12.717451875454698,12.849168486184224
103,8.93554579051159,11.788604392615197,12.477684497325113,12.794188643017177,12.986200816866853,13.124831322519624,13.239904956119373,13.3497228773205,13.477369653047687
104,9.543396038624863,12.428425569099842,13.115354543780098,13.428662538528256,13.61753550344069,13.753060544452465,13.864915442818313,13.97110736141016,14.093954963900755
105,10.157253690135093,13.062368946981094,13.744181615749083,14.052861979862994,14.237665688110466,14.369368870159603,14.477385273981012,14.579354732102699,14.696728674934432
106,10.774628714615986,13.688024891145288,14.36188104460001,14.664575996725658,14.844431924920796,14.971638928784612,15.075236967554416,15.172431848764488,15.283718242020681
107,11.393060425435307,14.303150609240587,14.96636308573329,15.261800806953827,15.43588940018381,15.55797344137133,15.6566176154449,15.748534282966629,15.853184217640147
108,12.01014557152824,14.905687678190558,15.555746287798653,15.842751029904177,16.010317717363165,16.12670386466064,16.21990655422678,16.30609295579788,16.403625596073113
109,12.623564006508657,15.493775399200159,16.12836649593774,16.405866505309064,16.566226306746756,16.67639470843696,16.763718704204678,16.843776455299775,16.933780844574642
110,13.231101636490548,16.065760057770717,16.682781723176277,16.949815009414948,17.1023557325789,17.205843811129995,17.28690387414744,17.360489384277145,17.44262504610461
111,13.830670333181414,16.620200241312943,17.2177732058465,17.47349121181685,17.617675353420736,17.714078935160416,17.788542505492444,17.855367200070305,17.929363634028306
112,14.420324726760468,17.155868529528107,17.732342918908017,17.97601224202694,18.111377620133595,18.20035116564256,18.26793822603534,18.327767934778194,18.393423117846197
