S,p07,p08,p09
102,-6.694416479531107,-6.8414253523024104,-7.037527326781401
103,-6.433942761110778,-6.582960620967171,-6.78286919597082
104,-6.121994766049799,-6.272966285318127,-6.476624107885387
105,-5.760970300524182,-5.913864795213808,-6.121241572477576
106,-5.353753200521849,-5.508559900966281,-5.719647563695585
107,-4.903641486909027,-5.060364244379745,-5.275171437396509
108,-4.414272238957828,-4.572923872404644,-4.791469991890107
109,-3.889545264016725,-4.050141745672864,-4.272450739168399
110,-3.3335474669095255,-3.496102133493828,-3.7221962671471154
111,-2.7504796081266214,-2.91499756726461,-3.1448913475183637
112,-2.1445868978399396,-2.3110597780609865,-2.5447541932662965
113,-1.520094615030576,-1.6884957838888326,-1.9259730062938907
114,-0.8811496789270734,-1.051430028336231,-1.2926486900162182
115,-0.23176884240800888,-0.40385321446692046,-0.648744343275176
116,0.42420606749766776,0.2504217661925878,0.0019580917815176235
117,1.0831456624960545,0.9077966339125609,0.6558938781393131
118,1.7416632616644279,1.5649172746840634,1.3097442767874057
119,2.396638093452985,2.2186962446774317,1.9604583025705224
120,3.045231755486455,2.8663285664965343,2.6052678023946285
121,3.6848983746777364,3.505301273304262,3.2416963274512156
122,4.313389000177814,4.133397244048176,3.867562354791332
123,4.928750824996619,4.748693933427717,4.480977470809222
124,5.529321871078885,5.349557636282398,5.0803401625337585
125,6.113721789562554,5.9346339406090465,5.664325874171716
126,6.68083942602955,6.502835019199793,6.23187397977194
127,7.2298177825720344,7.053324389957538,6.782172300702882
128,7.760036977545504,7.5854997423629555,7.314639762544317
129,8.271095762958147,8.098974385354296,7.8289077419617215
130,8.762792111039452,8.593557822549869,8.32480060398737
131,9.235103328474104,9.069235906954631,8.802315875351141
132,9.688166100895046,9.526150971022851,9.261604442872162
133,10.122256813769503,9.964582271194011,9.702951109013647
134,10.53777243997942,10.384927030621682,10.12675578083364
135,10.935212231074232,10.787682310109226,10.533515515703051
136,11.315160398508795,11.173427887510101,10.923807597094992
137,11.67826992481018,11.542810279508942,11.298273768494482
138,12.02524760239534,11.896527998426265,11.657605711856078
139,12.356840360249421,12.23531809926186,12.002531821346096
140,12.673822905956555,12.559944040638271,12.333805290959887
141,12.976986682662073,12.87118485537242,12.652193508350251
