S,p07,p08,p09
59,0.0003213457474098267,0.00033334528334985186,0.0003473808681299144
60,0.0005122689437832183,0.0005308902363133505,0.0005526695893040285
61,0.0008014440079749538,0.0008297996674337887,0.0008629634598844181
62,0.0012315753946836366,0.0012739800495277537,0.0013235761654271407
63,0.0018603928428108595,0.0019227190474491115,0.0019956203303290385
64,0.002764578451991318,0.0028546800122139777,0.002960081828707587
65,0.004044281600745534,0.004172485843612044,0.004322485659689105
66,0.005828189712380974,0.006007856970568259,0.00621811442672693
67,0.008279087662131883,0.008527232375764532,0.008817703923435824
68,0.011599800797448252,0.011937764316126066,0.012333501516252822
69,0.01603937828712828,0.016493538898781784,0.017025534229740256
70,0.021899337297060936,0.02250183848181349,0.02320789725569359
71,0.02953975689378092,0.03032923059338182,0.03125484267090985
72,0.03938498609480998,0.040407244202920904,0.04160642497079277
73,0.05192871531132068,0.05323737991382568,0.0547734467740066
74,0.06773815627654622,0.06939519765227811,0.07134144635525277
75,0.08745708349688965,0.08953323471867139,0.09197347947532115
76,0.11180751064741926,0.11438252891475212,0.11741147148046928
77,0.14158980772223193,0.14475255534126197,0.14847595122251833
78,0.17768110795805833,0.18152943009929762,0.1860640246267897
79,0.22103190570773404,0.22567228757059285,0.23114550065488396
80,0.2726608051367373,0.2782077977048939,0.28475714339205593
81,0.33364744204652963,0.34022285294200105,0.34799508809748714
82,0.40512366430085606,0.412855518000113,0.42200552319579077
83,0.4882631172328725,0.4972843967410942,0.5079738013031202
84,0.5842694362243869,0.5947166258514955,0.607112197640596
85,0.6943632968780727,0.7063747526869087,0.7206465811444287
86,0.8197686118390435,0.8334827923379571,0.8498023002980791
87,0.961698190901196,0.9772517853861178,0.9957896108447498
88,1.121339196710052,1.1388651921422313,1.159788985373545
89,1.2998387319167342,1.3194644612419757,1.3429366452330933
90,1.4982898854016315,1.5201351007369774,1.546310643818302
91,1.7177185460525553,1.7418935592209157,1.770917808031032
92,1.959071263870351,1.9856751944479178,2.0176818130877807
93,2.223204401533547,2.252323569041855,2.287432626602604
94,2.510874776865825,2.5425812691810346,2.580897512982976
95,2.8227319498942256,2.8570823945859978,2.8986937406856974
96,3.159312259361862,3.196346818751693,3.2413230848238372
97,3.5210346645629618,3.560776269052544,3.60916816790302
98,3.908198400942738,3.9506522288418044,4.002490633820527
99,4.32098241355063,4.36613561945286,4.421431106155624
100,4.7594464923991895,4.807268180306128,4.8660108424022095
101,5.223533999000386,5.273975431043599,5.336134962026199
102,5.713076044479894,5.7660710713695025,5.831597098647628
103,6.227796957060517,6.28326265238582,6.352085305529706
104,6.76732086044738,6.825158337735601,6.8971890289220426
105,7.331179174594033,7.391274563615988,7.466406955429065
106,7.918818846119711,7.981044403313932,8.059155537042978
107,8.529611116781542,8.593826443819522,8.674778000223645
108,9.162860644245692,9.22891398862067,9.312553652750012
109,9.817814799232108,9.885544411260481,9.97170731325937
110,10.493672976194386,10.562908497877228,10.65141870265804
111,11.18959577025526,11.26015963297861,11.350831653149076
112,11.904713890445635,11.976422700395585,12.069063008745346
113,12.638136697658556,12.710802590008255,12.805211110110607
114,13.388960274539528,13.462392219831628,13.558363775796689
115,14.156274953205823,14.23028000182423,14.327605710856016
116,14.939172244759424,15.013556697886893,15.112025291965303
117,15.736751131650664,15.811321629565697,15.910720695229344
118,16.54812369974423,16.62268822068411,16.722805348450827
119,17.37242010123665,17.44678886627874,17.547412703676557
120,18.208792852213275,18.282779133678627,18.383700338118977
121,19.056420479547036,19.129841312286665,19.230853402059815
122,19.914510541014078,19.98718733757101,20.08808744107641
123,20.782302049965274,20.854061122019605,20.95465062693049
124,21.659067341716273,21.729740331402017,21.829825436824365
125,22.54411342312277,22.61353764877189,22.71292982456826
126,23.43678284970786,23.504801571330773,23.603317929675175
127,24.336454176353115,24.4029167867176,24.50038037162743
128,25.242542028120027,25.307304175668165,25.403544176737103
129,26.15449683736574,26.217420487418057,26.312272384282146
130,27.07180429213641,27.13275773290577,27.22606337712014
131,27.993984538997527,28.052842338875426,28.14444997989061
132,28.920591181129293,28.97723410355579,29.06699836537205
133,29.851210109814094,29.905524991794852,29.99330680667801
134,30.785458204486577,30.837337804514114,30.923004309867025
135,31.72298193338995,31.772324754164675,31.855749158313937
136,32.66345588370254,32.71016597464924,32.79122739692525
137,33.60658124680498,33.65056799097113,33.72915128103522
138,34.55208428125345,34.59326217073282,34.66925771168529
139,35.499714773004726,35.5380031766055,35.61130667596913
140,36.44924450960798,36.48456743606199,36.555079708291714
141,37.400465782394505,37.432751641983316,37.500378385744334
142,38.353189928242465,38.38237129533289,38.44702286836801
143,39.307245920230244,39.33325929883571,39.39485049286248
144,40.26247901446137,40.2852646086043,40.343714426321235
145,41.21874945852127,41.23825094885241,41.2934823847903
146,42.17593126542027,42.19209559326262,42.24403541991678
147,43.13391105547197,43.14668821519706,43.19526677559582
148,44.09258696735566,44.10192980776762,44.14708081537107
149,45.05186763856504,45.057731673762,45.09939202037988
150,46.011671254606455,46.01401448461167,46.052124056815295
151,46.97192466558189,46.97070740688212,47.00520891122495
152,47.93256256822944,47.927747294228304,47.9585860914378
153,48.89352675104464,48.885077942323136,48.91220189050521
154,49.85476539975864,49.84264940395519,49.86600871074276
155,50.816232460212625,50.800417361249636,50.81996444474376
