S,p07,p08,p09
66,0.10856321091234823,0.11133626316468283,0.11458871441598784
67,0.1459686134584054,0.1495546032645803,0.15376388713826855
68,0.19349265311634742,0.19806003158330185,0.2034261737439858
69,0.2530111772775824,0.2587436301978128,0.26548557458106953
70,0.326523908599774,0.33361678572940007,0.3419684792671171
71,0.4161105125085815,0.4247659744787552,0.43497097161705744
72,0.5238759278700794,0.5342968461437281,0.5466014642905789
73,0.6518862210543735,0.6642689453078762,0.6789140919050834
74,0.8020969016778873,0.8166230888227016,0.8338349715887594
75,0.9762762446999251,0.9931040187101392,1.0130840363381521
76,1.1759266513481497,1.1951814272143784,1.218095611990322
77,1.4022074112302052,1.4239727650151857,1.4499412056903638
78,1.6558623728436805,1.6801713686194486,1.7092580767583132
79,1.9371559750407108,1.9639833660502204,1.9961870591370112
80,2.245820839108792,2.275076543481469,2.310322801637177
81,2.5810196838513266,2.6125438955115765,2.650679106638021
82,2.9413237324812935,2.974883967330477,3.015671409880849
83,3.324709066838405,3.3599993666938444,3.4031176941318186
84,3.7285715960488908,3.765214022564689,3.8102583137483714
85,4.14976049001925,4.187308943266466,4.233794374622346
86,4.584629130963691,4.622575428073761,4.669943512373709
87,5.0291019009296445,5.066883954943369,5.114511184192705
88,5.478754489095516,5.515766341174233,5.5629749730734535
89,5.928904896153053,5.964508281104397,6.0105789244713215
90,6.374711957167767,6.408249024633106,6.452434613229974
91,6.811278005082189,6.842084780332991,6.883625478310007
92,7.233752258065662,7.261172407095895,7.299310965001027
93,7.63743162378594,7.660830087223847,7.694827164912432
94,8.017855857838097,8.036631936825245,8.065780926567179
95,8.370894369780224,8.384493881656851,8.408134800514944
96,8.692822413478574,8.700748582612938,8.718280653883248
97,8.980384899783811,8.982207707675105,8.993100314007574
98,9.230846603531795,9.226210387780487,9.23001214887087
99,9.442028075117292,9.43065723555847,9.427003038871007
100,9.612327086614414,9.594029826018868,9.582645715480176
101,9.740725923306215,9.715396017804245,9.696101918312827
102,9.826785257867066,9.794401912648354,9.767112237142328
103,9.870625703305436,9.831251605318947,9.795973852444462
104,9.872898426777077,9.826676150579416,9.783507653300383
105,9.834746415218198,9.781893376228368,9.731016401994808
106,9.757758115309656,9.698560291027114,9.640235728403113
107,9.643915232100397,9.578719888621023,9.513279771908856
108,9.495536464934062,9.424744133239571,9.352583269945924
109,9.315218893624078,9.239274840293632,9.1608418059419
110,9.105778620561722,9.025164049054624,8.940951804818908
111,8.87019212323814,8.785415324066292,8.695951702311078
112,8.611539595593243,8.523127247519469,8.428965523288312
113,8.332951361511576,8.241440160210445,8.143149907651193
114,8.037558241191789,7.94348700506653,7.84164540879928
115,7.728446549899459,7.632348925969978,7.5275326846035995
116,7.408618204047812,7.311016068145548,7.203794002856867
117,7.080956233336266,6.982353853599577,6.873280299055651
118,6.748195818779834,6.6490748220715545,6.538683856440741
119,6.412900834913415,6.313715994910041,6.202516533555524
120,6.07744573679625,5.978621582229948,5.867093338025597
121,5.744002533880632,5.645930753104267,5.534521049401775
122,5.414532500704894,5.317570105738412,5.206691506316474
123,5.090782214125511,4.9952504172878776,4.885279125499409
124,4.774283465209805,4.680467205222527,4.57174217501688
125,4.466356558161522,4.3745046148302436,4.267327305100821
126,4.168116517053733,4.078442139618943,3.973076841727874
127,3.8804817033444294,3.793163684413514,3.6898383466521523
128,3.6041843796041917,3.5193685002532504,3.4182759768697224
129,3.3397827722403406,3.257583552240817,3.1588831988749178
130,3.087674221902148,3.0081769016021553,2.911996451260279
131,2.8481090377319163,2.7713717358324175,2.6778093840817974
132,2.6212047256990445,2.547260711160959,2.4563873536820324
133,2.406960291683191,2.335820321288651,2.247681881435426
134,2.205270368325074,2.1369250390179673,2.0515448423807925
135,2.0159389509366576,1.9503610314863806,1.8677421787138826
136,1.838692571034528,1.7758392790412358,1.6959669808969124
137,1.6731927725643914,1.6130079652398877,1.5358518092156714
138,1.5190477876814157,1.4614640478782803,1.3869801706078988
139,1.3758233396998776,1.3207639384660297,1.248897082675171
140,1.243052532018396,1.1904332534484752,1.1211186963677733
141,1.1202447993952092,1.0699756233734092,1.0031409639310596
142,1.00689392638742,0.9588805583149451,0.8944473584904244
143,0.902485137466158,0.8566303932511232,0.7945156712807488
144,0.8065013082259043,0.7627063475723617,0.7028239169670769
145,0.7184283222017029,0.6765937322938953,0.618855400595919
146,0.6377596261231133,0.5977863733974687,0.5421029928598387
147,0.5640000474826934,0.5257902924427071,0.4720726754570137
148,0.4966689209595643,0.4601267071535631,0.40828641751033956
149,0.4353025918035769,0.4003344228920014,0.35028444290929883
150,0.37945635860126004,0.34597166699512627,0.2976269498233819
151,0.3287059063694642,0.29661742221520626,0.2498953537966031
152,0.28264830245205985,0.25187234079737664,0.20669309748200249
153,0.24090259802989067,0.21135926377979786,0.16764609132025043
154,0.20311009834017568,0.17472342381807948,0.1324028463045579
155,0.16893434544584807,0.14163236706110638,0.10063432423379481
156,0.13806086176515464,0.11177564488207281,0.0720335766146718
157,0.11019669198475412,0.08486431170240394,0.04631519175291032
158,0.0850697891152663,0.06063027171876456,0.023214602506982374
159,0.06242826675162405,0.03882550462463996,0.0024872731430036765
160,0.04203956329718039,0.019221199387686738,-0.016092194705663587
161,0.023689525470160788,0.001606821946609216,-0.032731015622289306
162,0.00718145280131921,-0.014210859440311197,-0.04761921573503969
163,-0.007664895314007936,-0.028408772685395434,-0.06093064573775564
164,-0.02101429490863893,-0.041148550593561595,-0.07282399820951468
165,-0.03301705710612168,-0.0525775303472642,-0.08344381686953284
166,-0.043810012897438355,-0.06282974268856378,-0.09292148746453677
167,-0.05351746981574479,-0.07202686816754067,-0.10137619611327864
168,-0.062252145838215256,-0.08027916610586772,-0.1089158611122798
169,-0.07011606115270297,-0.0876863660437266,-0.11563801812997099
170,-0.07720139201694565,-0.09433851289486483,-0.121630664224881
171,-0.08359127718904347,-0.10031677135202699,-0.12697306118525375
172,-0.08936058662811774,-0.10569418556372057,-0.13173648213182787
173,-0.09457663651346593,-0.11053638786506781,-0.1359849218118825
174,-0.09929986333645502,-0.11490226263788372,-0.1397757488774687
175,-0.10358444548330681,-0.11884456434074764,-0.14316032441286097
176,-0.10747888808282369,-0.12241049226702216,-0.1461845587868993
177,-0.11102655562922337,-0.12564221641753193,-0.14888944690483186
178,-0.1142661729147676,-0.12857737345939313,-0.151311530984799
179,-0.11723227409277115,-0.13124949596488023,-0.15348336120268868
