S,p07,p08,p09
136,0.9418478441602929,0.9391662558755343,0.9367408182470172
137,0.9443553494747903,0.941589917147212,0.9390600297365381
138,0.9466010197911601,0.9437570724912803,0.9411149193283563
139,0.9486178953466151,0.9456872618329726,0.9429456326870422
140,0.9504091735834663,0.9474021567257296,0.9445727755519329
141,0.9520014998543047,0.9489362184922356,0.9459931504807173
142,0.9534140588129958,0.9502830522478689,0.9472657325204636
143,0.9546731405407627,0.9514778298580495,0.9483674290322597
144,0.955770929067512,0.9525177091518344,0.9493387409520437
145,0.9567539649424361,0.9534407041655868,0.9501754050234013
146,0.9576055504112446,0.9542436174569957,0.9509090403980736
147,0.9583473570273782,0.9549339097247866,0.9515368049051176
148,0.9589999905301738,0.9555442659348046,0.9520739752133522
149,0.9595584771204813,0.9560544356190803,0.9525376043484357
150,0.9600380934671193,0.9564978142861946,0.9529198763402746
151,0.9604658401940469,0.9568790204639299,0.9532378442145273
152,0.9608069007072118,0.9571859749257783,0.9535025213835979
153,0.9611056839275989,0.9574574022508386,0.953718526375269
154,0.9613597029556331,0.9576808679412352,0.953884438104069
155,0.9615710894195217,0.9578673854093722,0.9540141121533452
156,0.9617266982786532,0.9579920856594981,0.9541135881363516
157,0.9618741358963234,0.9581057724972197,0.9541761158970985
158,0.961970059165651,0.9581718529716454,0.9542144852048295
159,0.9620524821229992,0.9582123539075837,0.954234025130063
160,0.9621018648431345,0.9582496574012112,0.9542183931898762
161,0.9621444974072801,0.9582731053114912,0.9541984979932749
162,0.9621693664030317,0.9582777238392737,0.9541526679868184
163,0.9621615504329384,0.9582478810443718,0.9540986667389006
164,0.9621381025226583,0.958202761580651,0.9540329415358428
165,0.9621210494970001,0.9581551552173551,0.9539558476490129
166,0.962073798405072,0.958113943738681,0.9538663192643071
167,0.9620393370823876,0.9580475079928874,0.9537696854522437
168,0.9619757435075371,0.9579668613923786,0.9536790912534343
169,0.9619157026463654,0.9578862147918699,0.9535604306165624
170,0.9618410956591106,0.9578052129199932,0.9534510070352553
171,0.9617814100693067,0.9577128423643444,0.9533536626804562
172,0.9616883289709222,0.9576183401804883,0.953232870415377
173,0.961603063842631,0.9575224169111607,0.9531063938084117
174,0.9615234830562258,0.9574129933298536,0.9529969702271046
175,0.9614296914151055,0.9573263071160909,0.9528555722226884
176,0.9613337681457779,0.9572183046202554,0.9527241218165727
177,0.9612541873593727,0.9570989334406477,0.9526182509489445
178,0.9611554219191021,0.957015089397828,0.9524676158889633
179,0.9610481299660023,0.9568843495344481,0.9523610344785993
180,0.9609593121240323,0.9567884262651205,0.9522210575596546
181,0.9608548623418756,0.9566718972564558,0.952110212892876
182,0.9607447282178327,0.9565539471623197,0.9519759203158173
183,0.9606502260339767,0.9564516290083702,0.9518352328541368
184,0.9605521711364418,0.956351442482628,0.9517066246189643
185,0.9604697481790936,0.9562228342474555,0.9515957799521857
186,0.9603660089396726,0.9561148317516199,0.9514742771443707
187,0.9602452166745934,0.9559983027429553,0.9513392740245763
188,0.9601450301488512,0.9558881686189125,0.9512120868748752
189,0.960042001452166,0.9557965086059994,0.9510777942978166
190,0.9599482098110457,0.9556700319990341,0.9509605547464162
191,0.9598373651442671,0.9555684243878204,0.9508461573659588
192,0.959745705131354,0.9554497637509485,0.9507381548701233
193,0.9596476502338191,0.9553289714858693,0.9506081255494792
194,0.9595211736268539,0.9552401536438992,0.9504766751433635
195,0.9594423033831845,0.9551172297506128,0.9503814624167717
196,0.9593307481736701,0.9549935953145905,0.9502421960405627
197,0.959233403818871,0.9549019353016774,0.9501178510618047
198,0.9591381910922792,0.9548053014896141,0.9500105591087049
199,0.9590372940238012,0.954693035737364,0.9498762665316463
200,0.9589506078100385,0.9545942702970933,0.9497682640358107
201,0.9588397631432599,0.9544713464038068,0.9496702091382758
202,0.9587196814209165,0.9543562384806137,0.9495508379586681
203,0.9586109683823452,0.9542638679249649,0.9494236508089671
204,0.9585519933352771,0.9541615497710154,0.9493341224242613
205,0.9584276483565191,0.9540706003008381,0.9492040931036172
206,0.9583381199718133,0.9539782297451893,0.9490932484368386
207,0.9582315385614493,0.9538808853903902,0.9489816932273243
208,0.9581512472323084,0.9537551193261606,0.9488779539879033
209,0.9580446658219444,0.9536478273730609,0.9487848728895187
210,0.9579586901509174,0.9535469303045829,0.9486726071372686
211,0.9578492665696103,0.9534502964925196,0.9485496832439821
212,0.9577654225267906,0.9533415834539483,0.948455181060126
213,0.9576808679412352,0.9532591604966001,0.94836067887627
214,0.9575884973855864,0.9531540001717076,0.9482604923505278
215,0.957471257834186,0.9530538136459654,0.9481432527991274
216,0.9574065984452318,0.9529458111501299,0.9480501717007428
217,0.9572673320690228,0.9528541511372168,0.9479620644015085
218,0.9571877512826177,0.9527553856969462,0.9478490881065227
219,0.9570825909577252,0.9526566202566755,0.9477155060721998
220,0.9570207737397141,0.9525756183847989,0.9476664786234323
221,0.9569411929533089,0.9524718791453779,0.9475563444993895
222,0.9568296377437946,0.9523759558760503,0.94743057843516
223,0.9567635572693689,0.9522771904357796,0.9473701823026204
224,0.956650580974383,0.9522032939912606,0.9472842066315934
225,0.9565688685597706,0.9521116339783475,0.9471634143665142
226,0.9564409708673338,0.9520221055936418,0.9470241479903052
227,0.9564118386151677,0.9519098398413917,0.9469765416270093
228,0.9562860725509381,0.9518323906831938,0.9468543282764585
229,0.9562164393628336,0.951737177956602,0.946779010746468
230,0.956120516093506,0.9516590182556683,0.9466845085626119
231,0.9560075397985202,0.9515886745248281,0.9466234018873365
232,0.9558966951317416,0.9514685928024846,0.9464997674513143
233,0.955836298999202,0.9513740906186285,0.9463960282118933
234,0.9558050351188285,0.9513001941741095,0.9463128947118093
235,0.9557261648751592,0.9511971654774243,0.9462610250920989
236,0.9555918722981005,0.9511097687209258,0.9461786021347507
237,0.9555378710501827,0.9510586096439511,0.9460705996389152
238,0.9553986046739738,0.9509193432677421,0.9459967031943961
239,0.9553673407936003,0.9508610787634098,0.9458901217840321
240,0.9552479696139926,0.9507957088317198,0.9458062777412124
241,0.9551754942549451,0.9507090226179571,0.9456826433051901
242,0.9551058610668406,0.950635126173438,0.9456428529119876
243,0.9550149115966633,0.9505299658485455,0.945532008245209
244,0.9549253832119575,0.9504645959168556,0.945496481108421
245,0.9548472235110239,0.9503736464466783,0.9453771099288133
246,0.954746326442546,0.9503054343440454,0.9453330562791962
247,0.9547250101604732,0.9502386433268839,0.9451909477320442
248,0.9546056389808655,0.95017895773708,0.9451412097405409
249,0.9545786383569066,0.9500624287284154,0.9450360494156484
