S,p07,p08,p09
54,7.316976909890922e-06,7.599351741822578e-06,7.929622405748737e-06
55,1.1904584294185924e-05,1.2349768105807948e-05,1.2870379908038517e-05
56,1.8921990139439708e-05,1.960739228328034e-05,2.0408842151122897e-05
57,2.9414322320073585e-05,3.0445892437757412e-05,3.1652081586969454e-05
58,4.476426615371504e-05,4.6283508510686945e-05,4.805997828410914e-05
59,6.67574308685229e-05,6.894887337287325e-05,7.151161492992535e-05
60,9.76458929100206e-05,0.00010074461209599699,0.00010436897785793577
61,0.00014020476533883539,0.00014450343896184152,0.00014953256133646252
62,0.0001977758916360539,0.00020363073724395317,0.00021048270567886745
63,0.00027429232537850776,0.0002821272224780985,0.0002913002255296865
64,0.0003742773980802347,0.00038458544121891536,0.00039665999881834807
65,0.0005028127544968314,0.0005161545454154121,0.0005317920053274361
66,0.0006654710056966384,0.000682469048314191,0.00070240565606082
67,0.0008682103436533084,0.0008895391013022391,0.0009145750716650636
68,0.0011172307182345798,0.0011436020959723625,0.0011745854039575676
69,0.0014187935849438449,0.0014509378458774091,0.001488742750639649
70,0.0017790099473766197,0.001817652433531991,0.0018631530521520667
71,0.002203603768347051,0.0022494379808141174,0.0023034776454322614
72,0.002697660203138108,0.0027513181983379598,0.00281467557518289
73,0.0032653696932505305,0.003327391019727899,0.003400744266537914
74,0.003909780130068041,0.003980580487311647,0.004064471113840451
75,0.004632569426260558,0.004712410747315099,0.004807208608265112
76,0.005433850990971267,0.00552281426077772,0.005628685677550038
77,0.006312022344523438,0.0064099846114329395,0.0065268650253913485
78,0.007263666189361029,0.007370283283680834,0.007497855986082769
79,0.008283510891382573,0.008398206506332606,0.008535888842142736
80,0.009364453227300729,0.00948641549092244,0.00963335317794023
81,0.010497644388762772,0.010625830303978567,0.010780900605023014
82,0.011672637908466399,0.011805785369856103,0.01196760905319838
83,0.012877592788229641,0.013014240381470366,0.01318120277593593
84,0.014099524421329335,0.014238038388292296,0.01440831755683547
85,0.015324596612797947,0.015463203244525658,0.015634805980990762
86,0.01653843760385243,0.0166752610442078,0.01684606441121339
87,0.017726474792478797,0.017859577998713405,0.018027374247830963
88,0.01887427103941519,0.019001698616794016,0.01916424416492646
89,0.019967852924462903,0.020087674912350195,0.02024273864975612
90,0.02099401930522049,0.021104373932878673,0.021249785879806637
91,0.021940623924354696,0.02203975736136954,0.02217345443034091
92,0.022796814793668574,0.022883118184768847,0.023003186502279505
