S,p03,p04,p05,p06,p07,p08,p09
50,2.3722820254713464e-07,3.9194869388350527e-07,5.229121795095046e-07,6.388778774252707e-07,7.464118388071531e-07,8.613469252662152e-07,1.0135271621467923e-06
51,4.6863656876862706e-07,7.642490715389959e-07,1.0126768363589555e-06,1.2290238741642808e-06,1.4321437831081368e-06,1.6462418425593835e-06,1.9279680924864213e-06
52,8.9806189659022e-07,1.4464382264227056e-06,1.9030504584089205e-06,2.298049090295384e-06,2.667548578810233e-06,3.0565164843430115e-06,3.5657217331780747e-06
53,1.672209437502477e-06,2.662266608406097e-06,3.4781529259920833e-06,4.18125807720058e-06,4.834226077711674e-06,5.517885681791818e-06,6.413059068976958e-06
54,3.031113966254855e-06,4.770175479119378e-06,6.191637287378043e-06,7.408591969071399e-06,8.535141299644998e-06,9.710083655374308e-06,1.1242318314892523e-05
55,5.356523364241032e-06,8.335202137060935e-06,1.0750389870027664e-05,1.280384388194656e-05,1.4697453798169328e-05,1.6668061211583176e-05,1.922500685394308e-05
56,9.239455886847232e-06,1.4221062648062544e-05,1.8223290443927093e-05,2.1608660566723066e-05,2.4718641304828648e-05,2.794171652679891e-05,3.211024958568124e-05
57,1.5572207084468652e-05,2.3711085110861112e-05,3.019472150610214e-05,3.5648105290147364e-05,4.0637930303830117e-05,4.579304600446643e-05,5.2437650169311414e-05
58,2.5674564403210635e-05,3.86841600419352e-05,4.896068630817069e-05,5.755564414281454e-05,6.539065892496171e-05,7.345762046600049e-05,8.38201524248211e-05
59,4.144924692101731e-05,6.180891708824562e-05,7.77509580698367e-05,9.102337346312758e-05,0.00010307116217380535,0.00011544128147985763,0.00013127540233245222
60,6.558653902095923e-05,9.68133098645449e-05,0.00012106360022540869,0.00014114572954426058,0.00015930960706438818,0.00017789517688798773,0.00020161658258709136
61,0.00010180371492638993,0.00014877788129079306,0.00018496609409043852,0.00021478256185310934,0.00024165480814325457,0.00026906270180621084,0.00030392977631160667
62,0.00015513880327958085,0.0002245219201529869,0.00027754075079822194,0.0003210108502800513,0.00036003671832068873,0.00039973629874928696,0.00045006606948228
63,0.00023229605088451177,0.00033297651745242685,0.0004093092672522586,0.00047158083644679993,0.0005272908737245785,0.0005837961516118317,0.0006552080059063492
64,0.0003420219457043322,0.00048566942568301075,0.0005937308479066206,0.0006814548383048125,0.0007596690095555692,0.0008387630650794065,0.0009384233407710996
65,0.0004955339957812832,0.0006971724738312479,0.0008477051742852848,0.0009693237748922834,0.0010773866174207392,0.0011863551807600459,0.001323243576344113
66,0.0007069302283314871,0.0009856132403285311,0.0011920883117438885,0.0013581130360942884,0.0015051471787680404,0.0016529855609292987,0.0018381720624793818
67,0.0009936909585103737,0.0013731409672507189,0.001652174837912801,0.001875501446854666,0.0020726331675241516,0.002270304777507448,0.002517175140201444
68,0.001377086834321306,0.0018863666705060123,0.0022581212507505333,0.002554303296653515,0.002814886952001716,0.0030754889954187625,0.003400021843930068
69,0.0018825718327980523,0.0025567501674844673,0.003045297000681124,0.0034327842651782348,0.0037726060990450616,0.004111550596513913,0.004532464247669621
70,0.002540183948601671,0.00342089698582293,0.004054544547327232,0.004554878002549501,0.004992286445348881,0.005427441308880621,0.00596634443239541
71,0.003384747083307049,0.00452069007228495,0.005332224939369468,0.005970181467251923,0.006526179596733073,0.007077903714514111,0.007759308300048229
72,0.004456080643366889,0.005903393399120382,0.006930148295503091,0.007733795201469995,0.0084320762178125,0.009123241051511854,0.009974611414609313
73,0.005798948127244685,0.0076213452215867505,0.008905260903691037,0.00990589624216831,0.010772729236441236,0.011628653248663134,0.012680187108649044
74,0.007462950743497565,0.009731705025162185,0.011319198356396498,0.012551234357394137,0.013615325533677947,0.014663500275124974,0.015947944007055348
75,0.009502265294059065,0.012296000675982022,0.01423762982510901,0.015738234673823293,0.017030539478657403,0.018300500004286846,0.019852785387852734
76,0.011975029995392461,0.015379161139028596,0.01772923474696597,0.019537990669782346,0.021091235008485754,0.022614147360267012,0.02447094818447404
77,0.01494271061053265,0.01904859117662916,0.021864472732335827,0.024022980826821083,0.025871280118217044,0.027679325498297658,0.029878469143262976
78,0.01846934202798245,0.023373424029582424,0.026714854634013463,0.02926582448603554,0.03144415144928914,0.03357032568596097,0.036150210602770017
79,0.0226203077102749,0.028422737774480566,0.03235081369457049,0.035337639758825645,0.03788114405489651,0.04035829864745821,0.043357106793706635
80,0.027461289492380914,0.03426432748643293,0.0388403656459424,0.042306214087517446,0.04524963598262488,0.04811015197336843,0.05156518823046241
81,0.03305687529264745,0.040963214764655476,0.04624775146178095,0.05023462062991868,0.05361149857385783,0.05688640114520638,0.06083301640202876
82,0.03946971915969044,0.048580686695665065,0.054632370849461154,0.05918021073192392,0.06302212918196659,0.06674046315602311,0.07121159772971453
83,0.04675786702268425,0.057171359313379355,0.06404503316570498,0.0691911972161563,0.07352713993213911,0.07771521204347209,0.0827402729663973
84,0.054974857999212645,0.0667832483758346,0.07452976569233272,0.0803072386368342,0.08516262972602107,0.08984349930685198,0.09544792178850514
85,0.06416758235872067,0.07745560026695131,0.0861197030355143,0.09255732846824571,0.09795378397292609,0.1031460472589174,0.10935035099635115
86,0.07437503113383315,0.08921812177931088,0.09883804330534929,0.1059588361496111,0.11191291227063971,0.11763122143015892,0.1244503500252847
87,0.08562727749072963,0.1020897255621378,0.11269506439148813,0.1205161137551869,0.12703986196349604,0.1332936427900222,0.1407368055428293
88,0.0979442582593748,0.11607715344474911,0.12768924806394466,0.136220906776785,0.1433200447209515,0.15011367149320165,0.15818365506348186
89,0.11133526323092724,0.131175409423534,0.14380539536951176,0.1530512938607842,0.16072613240325495,0.16805780100881407,0.17675119146076668
