S,p03,p04,p05,p06,p07,p08,p09
46,1.2696092417136647e-07,2.204216347076978e-07,3.030629310837216e-07,3.7731316138074164e-07,4.485602298116703e-07,5.252089261711692e-07,6.282717672769348e-07
47,2.9261771321384e-07,5.013038720549354e-07,6.839108119798113e-07,8.468938964986024e-07,1.0025317320150764e-06,1.1692834340841589e-06,1.392542794589535e-06
48,6.499568333071704e-07,1.099082752012985e-06,1.4880689655951414e-06,1.8330105748595795e-06,2.1608547836352196e-06,2.5107018190184334e-06,2.9771486215120343e-06
49,1.394005920521748e-06,2.3274449756086187e-06,3.127801299100852e-06,3.833041942376533e-06,4.500230447745965e-06,5.209412221836038e-06,6.151088475094071e-06
50,2.8921840753161868e-06,4.769023014519321e-06,6.362469210689461e-06,7.757840607218767e-06,9.071950594337761e-06,1.0463420147163947e-05,1.2303669930312741e-05
51,5.814355657725204e-06,9.471273018495339e-06,1.2546088112457797e-05,1.5222306141150522e-05,1.7731503724424385e-05,2.0378451868420232e-05,2.3865371260452204e-05
52,1.1344237255702369e-05,1.8259804595089545e-05,2.4019527370051225e-05,2.9002684168652783e-05,3.3654564504113484e-05,3.854379711516862e-05,4.4959807828803086e-05
53,2.151229469748128e-05,3.42238163517097e-05,4.471235843400518e-05,5.373361233556858e-05,6.211929415891917e-05,7.090112027072895e-05,8.238186802401521e-05
54,3.9704041049872836e-05,6.24453977902206e-05,8.10383590960625e-05,9.693831273108253e-05,0.00011165637547647207,0.00012701537825948462,0.00014702048644774036
55,7.141352569186213e-05,0.00011106314990396258,0.00014318894725076452,0.00017050648764428523,0.00019568989515884403,0.0002218791409813847,0.0002558670259984042
56,0.00012532876693406288,0.00019277937234951563,0.00024694813553838085,0.00029275391185241094,0.00033481151754253716,0.0003784007020521889,0.00043476872021477837
57,0.00021485252485043248,0.0003269369259174072,0.000416168733033558,0.0004912127770593513,0.0005598443990886208,0.0006307389133670971,0.0007220972641736684
58,0.00036017617807079257,0.0005423039785701215,0.0006860590130035087,0.000806308973310809,0.0009158578254835937,0.0010286497762913437,0.001173501305880959
59,0.000591034121700428,0.0008807091784888064,0.0011074286855418457,0.0012960777803045723,0.0014672852309571304,0.0016429973577732958,0.0018678940138741214
60,0.0009502682195218925,0.0014016631065899238,0.0017520291109969714,0.002042049834362716,0.002304273066808054,0.0025725511349172737,0.0029147896299559508
61,0.001498323550172824,0.002188081093390656,0.002719092505947223,0.0031564011782265248,0.0035503435332384817,0.003952140867834967,0.004463043974634821
62,0.002318775722690361,0.00335318528093295,0.004143126192471258,0.004790403889293497,0.0053713890603445955,0.0059621673804347965,0.006710972046001031
63,0.0035249541236912706,0.005048609238029718,0.006202950408331318,0.00714413637077681,0.007985931045379098,0.008839374877065223,0.009917714277737563
64,0.005267673948097405,0.007473656225300255,0.009131882940983677,0.010477317626228326,0.011676472757920444,0.012888680267931356,0.014415604375917627
