S,p03,p04,p05,p06,p07,p08,p09
40,-2.5793945446588575e-09,-4.9713327572203815e-09,-7.264395779630405e-09,-9.433101545480789e-09,-1.1594038664986019e-08,-1.3994432899467867e-08,-1.7330989831549683e-08
41,-7.522442260827103e-09,-1.4283510220582796e-08,-2.0690581573266325e-08,-2.670580315041303e-08,-3.2667250309925184e-08,-3.925901509159833e-08,-4.8377958969898555e-08
42,-2.0837349289060388e-08,-3.899553571684623e-08,-5.601003355633508e-08,-7.18699269339352e-08,-8.750574376675259e-08,-1.0471782417915758e-07,-1.284183244778759e-07
43,-5.4987030809369837e-08,-1.0146053652294065e-07,-1.4453038491131597e-07,-1.8439813336882566e-07,-2.2350215329140394e-07,-2.6636174200475326e-07,-3.251114302832164e-07
44,-1.3861293527195615e-07,-2.522705689783839e-07,-3.564787470946597e-07,-4.5228466312902e-07,-5.457882242609925e-07,-6.478392898093603e-07,-7.871095960153524e-07
45,-3.346369802718258e-07,-6.009219447428076e-07,-8.425206836446587e-07,-1.0631683183122279e-06,-1.2774700881427365e-06,-1.5103999098091663e-06,-1.8269172684016941e-06
46,-7.75514397503215e-07,-1.3745642083980876e-06,-1.912538040551768e-06,-2.400683221838533e-06,-2.872549173305682e-06,-3.3833755820376763e-06,-4.074606977346677e-06
47,-1.7290052681795074e-06,-3.0258476726849147e-06,-4.178868428408857e-06,-5.218488858899873e-06,-6.218807111479661e-06,-7.297485793406463e-06,-8.751151131158101e-06
48,-3.715955174361751e-06,-6.422979921848572e-06,-8.806351617733006e-06,-1.0942067504505293e-05,-1.298780295461237e-05,-1.5185384279421492e-05,-1.8135116042986413e-05
49,-7.713081401197767e-06,-1.3171789001259207e-05,-1.7932081191843715e-05,-2.217203680314762e-05,-2.62155339449493e-05,-3.054301572560283e-05,-3.6329031665753154e-05
50,-1.548916598377157e-05,-2.6141290762353067e-05,-3.5344001465155124e-05,-4.349253371877919e-05,-5.123021423411783e-05,-5.9481304375937325e-05,-7.04714332491871e-05
51,-3.014246406311503e-05,-5.029069325113255e-05,-6.753877557159659e-05,-8.272320123688916e-05,-9.708172210781648e-05,-0.00011233879949883967,-0.00013258525201261567
52,-5.692995492017075e-05,-9.392560368100775e-05,-0.00012531370279814758,-0.00015279092017365565,-0.0001786675129578701,-0.00020606858085067524,-0.0002422986506245536
53,-0.00010450372205357027,-0.00017054170504736198,-0.00022608123359978483,-0.00027443326368186587,-0.0003197870936732777,-0.0003676511850532674,-0.00043071388151511643
54,-0.00018669346592305264,-0.00030144102089686367,-0.0003971223482932885,-0.0004799733189644077,-0.0005573843041486729,-0.000638811550157954,-0.0007457243059770886
55,-0.00032499284108824784,-0.0005193232034064045,-0.0006800095778437495,-0.0008184168932479101,-0.000947244700301053,-0.001082322239928515,-0.0012590786490636614
56,-0.0005519156892868821,-0.0008730549447958727,-0.0011364234363034431,-0.0013621090134158774,-0.0015713943897246066,-0.0017901469620201162,-0.0020754536084580185
57,-0.0009153802204190046,-0.001433796962535017,-0.0018555489452624404,-0.0022151379052315944,-0.0025473871844211337,-0.002893607746469656,-0.0033437108849889096
58,-0.0014842485350586901,-0.0023026128597812977,-0.0029631642367006572,-0.0035235836834383062,-0.004039561323821808,-0.004575638653049921,-0.005270375399368237
59,-0.0023550901133087133,-0.0036195920784980727,-0.004632415929753891,-0.005487571363444055,-0.006272191464561574,-0.007085015419242368,-0.008135175813975062
60,-0.003660147387958917,-0.005574387819331598,-0.007096115145638212,-0.008374903869801144,-0.009544257732937877,-0.010752226984987059,-0.012308241204934156
61,-0.005576358586163168,-0.008417902226492342,-0.010660188028646593,-0.012535826865064109,-0.014245309648966918,-0.01600639150322142,-0.01826826143850276
62,-0.008335140847200962,-0.012474652589764277,-0.01571768594482026,-0.01841822654061309,-0.0208716340696443,-0.023392334009828344,-0.026620614137348165
63,-0.012232462850736349,-0.018155136614579383,-0.022762519731526338,-0.026582303567271027,-0.030041665095736695,-0.03358666001827664,-0.038114165742109934
64,-0.017638553011595563,-0.025967299914105863,-0.03240185138628415,-0.037713526093022025,-0.042509327524412596,-0.04741140867169271,-0.053655200603247216
65,-0.02500641292419733,-0.036526016704028615,-0.04536588096162576,-0.05263247013691456,-0.05917381412267094,-0.06584368283099255,-0.07431675448644523
66,-0.03487815524614098,-0.05055934919899212,-0.06251363292499305,-0.0723000355216172,-0.08108419062935861,-0.09001956259223662,-0.10134155940984195
67,-0.04788808081743487,-0.06891027597986205,-0.08483329987247788,-0.09781650532669238,-0.10943722700075975,-0.121230639322967,-0.13613687125547647
68,-0.06476137077672828,-0.09253259504125723,-0.11343576246911997,-0.1304130163060618,-0.14556698772509297,-0.1609116770478707,-0.180259666158828
69,-0.08630731178315694,-0.1224798279407043,-0.14954008539930694,-0.17143423732565852,-0.190924986546912,-0.21061822320247456,-0.235391059629215
70,-0.11340610681290975,-0.1598861839692419,-0.19445009266304486,-0.2223114120248477,-0.2470501179686468,-0.2719934445407729,-0.3032993127603268
71,-0.14698855385513343,-0.2059389844255288,-0.24952154333092508,-0.2845253978176891,-0.3155281028008513,-0.3467240358403175,-0.38579141747654644
72,-0.18800819538539937,-0.2618423835414416,-0.3161199411985031,-0.35955990139185534,-0.3979407989082148,-0.43648570592387315,-0.4846539594240669
73,-0.23740593935494164,-0.32877273123682726,-0.39556958879640913,-0.44884573609793343,-0.4958063919602171,-0.542879444186976,-0.6015846948787641
74,-0.2960676061782163,-0.40782647227396196,-0.48909510006808177,-0.5536975665326731,-0.6105121481453653,-0.667360461495017,-0.7381169931478887
75,-0.3647753377913945,-0.4999620292914432,-0.597757173965055,-0.6752452136816758,-0.743242032004756,-0.8111623299712107,-0.8955399335973974
76,-0.4441542817695335,-0.6059376336122364,-0.7223849592251086,-0.8143621237162237,-0.8949020195491888,-0.9752193672111095,-1.0748173557357743
77,-0.5346164013713979,-0.7262475082816238,-0.8635077672631587,-0.9715940125787741,-1.06604632689051,-1.1600906790072536,-1.2765094992435186
78,-0.636303627901421,-0.8610591371867559,-1.0212891801919026,-1.1470909523293937,-1.256807994218239,-1.3658894584880898,-1.50070100810603
79,-0.7490328354781063,-1.010154544112804,-1.1954667284881315,-1.3405462401441512,-1.466837292647713,-1.5922211196925038,-1.7469389934081467
80,-0.8722452570573573,-1.1728785374523252,-1.3853002631412412,-1.5511452759025601,-1.6952512496450065,-1.838133615820793,-2.0141845530290565
81,-1.0049629595560758,-1.3480967422479853,-1.589531918183472,-1.7775273720443852,-1.9405972240529838,-2.102082867435345,-2.300780649135925
82,-1.145754849800762,-1.5341659451152678,-1.806360161823023,-2.0177629455413015,-2.200832924383869,-2.3819156282143483,-2.6044385756781336
83,-1.2927143963085002,-1.7289188342785589,-2.033429889993696,-2.2693479237889584,-2.4733245858227892,-2.674871381513749,-2.9222444489622386
84,-1.4434508385546634,-1.9296646511790665,-2.2678398566739366,-2.5292164706283233,-2.7548642430030994,-2.977604034405898,-3.2506862735676543
85,-1.595095137607419,-2.1332066143363524,-2.506167999440495,-2.7937723485194463,-3.0417062034043374,-3.286223306385055,-3.585701225987037
86,-1.7443213285482706,-2.335876268010548,-2.744514449072999,-3.0589384239948445,-3.3296219885066978,-3.596354847979766,-3.9227419120328064
