S,p03,p04,p05,p06,p07,p08,p09
32,-1.392721861632813e-14,1.2290086398559896e-14,3.1820846030848364e-15,5.864924902854897e-15,5.53585104457534e-15,7.463325943348782e-15,4.475187387422552e-15
33,1.5177093308109617e-14,1.66545712232763e-14,1.7270518438841397e-14,1.0908715247253707e-14,3.3995881690381514e-14,2.924079216855685e-14,3.981789332552076e-14
34,7.499505910026306e-15,3.9262534860220265e-14,6.169751271878766e-14,1.0732159151935562e-13,1.107441725893909e-13,1.4085561969168208e-13,2.0615458585309664e-13
35,9.057686654323178e-14,2.0542443305244845e-13,2.858898927083153e-13,3.5072973685331996e-13,4.787926123381991e-13,5.567028726273817e-13,7.265731706378513e-13
36,3.538014410397724e-13,7.052003941257729e-13,1.036246644326992e-12,1.3972036461169955e-12,1.7159120025705967e-12,2.1137665646314657e-12,2.6261159800006746e-12
37,1.2644009033606473e-12,2.4718800565748356e-12,3.651973293019727e-12,4.795021160254754e-12,5.918135298196039e-12,7.140439839576317e-12,8.889202886048019e-12
38,4.208891829993444e-12,8.110325079109484e-12,1.185085366552071e-11,1.5469912083330873e-11,1.8993344330984737e-11,2.2915880044542496e-11,2.8375966695477453e-11
39,1.325515755621928e-11,2.510959735169711e-11,3.636415813284991e-11,4.698145930794344e-11,5.736934216487356e-11,6.901456890118779e-11,8.499806674263585e-11
40,3.926246682259161e-11,7.326541597070962e-11,1.0524159325352116e-10,1.3485686261939744e-10,1.6411293113976533e-10,1.9629199720512646e-10,2.405270071030947e-10
41,1.1024408246595093e-10,2.0277299437147665e-10,2.8824928536130766e-10,3.6724999472902104e-10,4.4459015012555284e-10,5.291747636645138e-10,6.451191042018278e-10
42,2.945148299197319e-10,5.331066573044107e-10,7.510169797044868e-10,9.508786988034062e-10,1.14552097164568e-09,1.3576165027918634e-09,1.6465514811918178e-09
43,7.491827195505372e-10,1.3361997793792943e-09,1.8660495947461202e-09,2.3482922454621437e-09,2.8155549175672604e-09,3.3222329038809773e-09,4.009260273062124e-09
44,1.8220717459299308e-09,3.202410456461353e-09,4.434124840421377e-09,5.547278857157472e-09,6.6198516108714575e-09,7.777841531962113e-09,9.34033624261536e-09
45,4.2462020549998365e-09,7.3567831289558276e-09,1.010181749174068e-08,1.2564775803499753e-08,1.4925562680522347e-08,1.7463067242132157e-08,2.0871589030204766e-08
46,9.504279971423451e-09,1.6238353495748637e-08,2.2115582128639374e-08,2.7352236062243053e-08,3.23464014121771e-08,3.769111393925316e-08,4.4838229478661764e-08
47,2.0478704432776442e-08,3.4512993904043096e-08,4.662982578253625e-08,5.735229356496158e-08,6.752743339989471e-08,7.83707004041338e-08,9.280678802562512e-08
48,4.256235095748248e-08,7.077614999305339e-08,9.48778745545886e-08,1.1606375850608236e-07,1.3606972324753334e-07,1.5730095940290133e-07,1.8544560741087102e-07
49,8.548856404293259e-08,1.4030469314240417e-07,1.866456482025074e-07,2.2711244931445216e-07,2.651431578408826e-07,3.053394793257943e-07,3.583984118342979e-07
50,1.6623270469903706e-07,2.693390826927292e-07,3.556140214809237e-07,4.304677483861249e-07,5.004847479232036e-07,5.741952290458964e-07,6.710871505665562e-07
51,3.1344738446062264e-07,5.015065618373723e-07,6.572869537782717e-07,7.915892777022294e-07,9.166341665269454e-07,1.047762335640095e-06,1.2194255469687057e-06
52,5.740076885843052e-07,9.071219907983257e-07,1.1803350858175787e-06,1.4144117507079078e-06,1.6313675010835995e-06,1.858007289275054e-06,2.15351784930088e-06
53,1.0223478614955408e-06,1.5961905384902485e-06,2.0622681455256353e-06,2.4591363118482815e-06,2.8253411411247086e-06,3.2064546743264645e-06,3.701421374178955e-06
54,1.7733289920589083e-06,2.7359753570139523e-06,3.510352181054473e-06,4.165764778079175e-06,4.767894727136432e-06,5.392224091114214e-06,6.199924811724569e-06
55,2.9994033050210827e-06,4.573931219212457e-06,5.828565184342509e-06,6.884151979819433e-06,7.849753326021828e-06,8.847325179567875e-06,1.0132975770716117e-05
56,4.952756155940559e-06,7.466639319092701e-06,9.45113747049945e-06,1.1111030457990902e-05,1.2623000119740065e-05,1.4179461907266031e-05,1.61778793210084e-05
57,7.992924453136289e-06,1.1915048409450856e-05,1.4982802281767143e-05,1.7533968054610563e-05,1.9848107163085525e-05,2.2221992614497544e-05,2.5258694264320737e-05
58,1.2620090856943576e-05,1.8605860875288904e-05,2.324529330306746e-05,2.7081537507450204e-05,3.0547085932259264e-05,3.408985069789294e-05,3.860532829964023e-05
59,1.9513800183471215e-05,2.8458288547146982e-05,3.5328892771316345e-05,4.097816039266974e-05,4.6060915353401694e-05,5.1239287831130256e-05,5.781581922524766e-05
60,2.9576292294994973e-05,4.267464870382929e-05,5.264699228814656e-05,6.080118511745877e-05,6.810843721253776e-05,7.552828496469859e-05,8.491823497798392e-05
