S,p03,p04,p05,p06,p07,p08,p09
30,-6.276237237762898e-16,-5.586425672877932e-16,6.451860615568634e-16,-2.819896728657959e-15,3.990427060242057e-15,4.347661961078457e-15,5.996750592478326e-15
31,5.9668554675515975e-15,1.0896393902703993e-14,2.0130372513776816e-14,3.179490277716734e-14,4.0951298337599605e-14,4.787732464463679e-14,6.213551629922125e-14
32,3.583348949975539e-14,7.839454279149894e-14,1.2954267611198782e-13,1.701264665324624e-13,2.203177408120834e-13,2.740576999480294e-13,3.53034831354643e-13
33,1.94945705416043e-13,4.202263162747779e-13,6.509898815986399e-13,8.752150919871691e-13,1.1121820272762047e-12,1.380317781432976e-12,1.7630453273461796e-12
34,9.508684158836385e-13,1.9894529312150117e-12,3.0294300219681e-12,4.0437683742546195e-12,5.094929163893164e-12,6.2808021504662375e-12,7.967622920915049e-12
35,4.2048855487024906e-12,8.555060066743472e-12,1.2903766025668162e-11,1.7127768461849707e-11,2.1420104910611252e-11,2.625881878688724e-11,3.3105879140110646e-11
36,1.7075744838434385e-11,3.4100612438197555e-11,5.088332884476808e-11,6.70403384789755e-11,8.334223832958865e-11,1.0164171488479779e-10,1.2737498350915964e-10
37,6.442751883293499e-11,1.2645085549644273e-10,1.867614837625746e-10,2.44305213770479e-10,3.0201171372421924e-10,3.664509694186829e-10,4.565745780112437e-10
38,2.272508319248648e-10,4.3845988805933366e-10,6.411328134383359e-10,8.329410423967029e-10,1.0241005005570726e-09,1.2364768528295205e-09,1.5318154035388867e-09
39,7.524236716471637e-10,1.4278458928292252e-09,2.067768486317098e-09,2.668407083061128e-09,3.26353044008143e-09,3.92136162106614e-09,4.831254364107675e-09
40,2.3479163615842873e-09,4.384364654440286e-09,6.289854744745904e-09,8.06421683193248e-09,9.811939021742318e-09,1.1734328524528395e-08,1.4379642604759674e-08
41,6.930931353103741e-09,1.2740644859528604e-08,1.8110625656126066e-08,2.3072391736343663e-08,2.7931942085639428e-08,3.325146133629327e-08,4.053441993198208e-08
42,1.9419006947162775e-08,3.51533570811376e-08,4.952389527213201e-08,6.270171071444206e-08,7.553641031092547e-08,8.95195303625852e-08,1.0856995556356774e-07
43,5.179891991237356e-08,9.23757229538204e-08,1.290041550019975e-07,1.623439299800029e-07,1.9463973842631507e-07,2.296630449236438e-07,2.7714941774268687e-07
44,1.3191673979142024e-07,2.3183820823751095e-07,3.2100791333075926e-07,4.0158402158553344e-07,4.792231820754714e-07,5.630400334412158e-07,6.761493804461701e-07
45,3.215872337617872e-07,5.571530818831717e-07,7.650215806771477e-07,9.515254230053008e-07,1.1302986766667653e-06,1.3224463110966496e-06,1.5805545766371337e-06
46,7.522565116931555e-07,1.2851953405440847e-06,1.7503160954600842e-06,2.164732212521745e-06,2.5599522885707996e-06,2.9829077964826705e-06,3.548499816438537e-06
47,1.692284364869531e-06,2.8519036846394103e-06,3.853067781730049e-06,4.7390137706228805e-06,5.579716711441716e-06,6.475619001599415e-06,7.668372105925347e-06
48,3.6687922503839363e-06,6.100540342757316e-06,8.177821683177726e-06,1.0003754550292288e-05,1.1727988430467987e-05,1.355783281312886e-05,1.598345659811898e-05
49,7.679871890515365e-06,1.2603844122427191e-05,1.676640540843335e-05,2.040129569556311e-05,2.3817312279475027e-05,2.7427866323319902e-05,3.2193698950979236e-05
50,1.5550583412405783e-05,2.519503410503502e-05,3.326493852640995e-05,4.026644502304586e-05,4.681547321920284e-05,5.370994533643786e-05,6.277261881006635e-05
51,3.0509082110723808e-05,4.881209151958736e-05,6.397327581797281e-05,7.704393618850314e-05,8.921356277294233e-05,0.00010197515016730075,0.00011868157696879891
52,5.8087250956754456e-05,9.179427781603324e-05,0.00011943957231737355,0.00014312457712358935,0.000165077055645992,0.000188009268510571,0.00021790988440545086
53,0.00010748227083702619,0.00016780719863060116,0.00021680254029416064,0.00025852205726623176,0.000297017927889566,0.0003370807823317638,0.00038911173017987103
54,0.0001935492644533387,0.0002986089919588659,0.00038312039478771254,0.0004546480949659547,0.0005203604233542057,0.000588495242178279,0.0006766414657935398
55,0.00033962665365630664,0.0005178998156838711,0.0006599516344453836,0.000779466087889987,0.0008887917766005748,0.0010017367713732565,0.0011472974920385727
56,0.0005814199164669344,0.000876512565597611,0.0011094604309160017,0.0013043036441603047,0.001481782390042437,0.0016644832315559218,0.0018990610910804128
57,0.0009721794571135846,0.0014491966527710996,0.001822299601776321,0.0021325729365188513,0.002414017930796151,0.0027027287210524427,0.0030720499546354535
58,0.0015893972410143216,0.0023432105050727654,0.0029274684797271733,0.0034105763062035064,0.003847000257678365,0.004293147489218505,0.004861789180425673
59,0.002543207638408846,0.0037088653294075203,0.004604245040571152,0.00534045707035357,0.006002839772281811,0.006677682589487527,0.007534731785510402
60,0.003986604931252862,0.005752048089419282,0.007096148283586312,0.008195190312152443,0.009180078280050427,0.010180141488876646,0.011445738917598125
