S,p03,p04,p05,p06,p07,p08,p09
42,2.9451848321479163e-10,5.357132815261003e-10,7.56283977507039e-10,9.604016526436848e-10,1.1610966133675516e-09,1.3817866417831735e-09,1.685622087163306e-09
43,7.913019142960345e-10,1.4267979080803738e-09,2.0148388923465843e-09,2.5595576585954115e-09,3.094217022649073e-09,3.6805504030878344e-09,4.4847688652727965e-09
44,2.0612595846510047e-09,3.71578476807551e-09,5.234445232393384e-09,6.631014934625877e-09,7.993751888186277e-09,9.480541174733063e-09,1.1508846946242905e-08
45,5.241403846258162e-09,9.371492665533111e-09,1.3114469155198455e-08,1.6528743773635295e-08,1.9840970562205194e-08,2.3437259417659737e-08,2.8319285806053674e-08
46,1.2874610031356937e-08,2.272673056099932e-08,3.155001721975657e-08,3.9540729520146455e-08,4.725295530929597e-08,5.559089125319703e-08,6.686028932097733e-08
47,3.0421165103156034e-08,5.2974010351076454e-08,7.295901703457199e-08,9.094061537176235e-08,1.082140682714007e-07,1.2681502299807829e-07,1.5185234951327129e-07
48,6.920821742082153e-08,1.189448375823247e-07,1.6258421727195312e-07,2.0160570106025918e-07,2.389210314124839e-07,2.7895001706669294e-07,3.326143956125251e-07
49,1.519468589992523e-07,2.578928580366785e-07,3.49960777218702e-07,4.317868104427022e-07,5.096880413789187e-07,5.929397115923079e-07,7.041109853324471e-07
50,3.226611340776263e-07,5.41050132734479e-07,7.290432529504779e-07,8.95125970105657e-07,1.0525528502869326e-06,1.2201697623490887e-06,1.4431345783236007e-06
51,6.639467039700575e-07,1.100263410473607e-06,1.4723672178976381e-06,1.7991741558941864e-06,2.1076233832788222e-06,2.434847752190922e-06,2.868475608947441e-06
52,1.326018885935896e-06,2.1721696177837824e-06,2.8872138749722983e-06,3.5116022192903155e-06,4.098448495988366e-06,4.718808619635492e-06,5.53784648832866e-06
53,2.5741293598647037e-06,4.169251889347319e-06,5.5051662199176575e-06,6.665135670523107e-06,7.750892826601508e-06,8.894677280967038e-06,1.0399301144697823e-05
54,4.863722659116112e-06,7.7908173758059e-06,1.0220766054779441e-05,1.231903622875874e-05,1.4275187609111195e-05,1.632889822029115e-05,1.9020931739470738e-05
55,8.95623322018017e-06,1.4191485875637984e-05,1.8500200482733465e-05,2.2200669284941566e-05,2.5636956954208658e-05,2.9232658688820888e-05,3.3929596775956654e-05
